,,record_id,file_id,bitlink,custom_bitlink,date_created,title,long_url,clicks_for_all_time,clicks_for_date_range,status,date_range_start,date_range_end,created_start,created_end,start_end
http://penncobaltplus.com/32J7q5g,292,rid0292,fid0022,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,19,19,,2021-12-31,2022-02-28,-28 days,31 days,59 days
http://penncobaltplus.com/32J7q5g,258,rid0258,fid0019,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,25,25,,2022-01-07,2022-03-07,-21 days,38 days,59 days
http://penncobaltplus.com/32J7q5g,213,rid0213,fid0016,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,43,43,,2022-01-14,2022-03-14,-14 days,45 days,59 days
http://penncobaltplus.com/32J7q5g,490,rid0490,fid0040,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,49,49,,2022-01-21,2022-03-21,-7 days,52 days,59 days
http://penncobaltplus.com/32J7q5g,479,rid0479,fid0039,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,49,49,,2022-01-21,2022-03-21,-7 days,52 days,59 days
http://penncobaltplus.com/32J7q5g,88,rid0088,fid0007,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,51,51,,2022-01-28,2022-03-28,0 days,59 days,59 days
http://penncobaltplus.com/32J7q5g,617,rid0617,fid0048,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,53,51,,2022-02-04,2022-04-04,7 days,66 days,59 days
http://penncobaltplus.com/32J7q5g,285,rid0285,fid0021,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,64,11,,2022-04-03,2022-04-11,65 days,73 days,8 days
http://penncobaltplus.com/32J7q5g,177,rid0177,fid0013,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,86,76,,2022-02-22,2022-04-22,25 days,84 days,59 days
http://penncobaltplus.com/32J7q5g,624,rid0624,fid0049,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,94,79,,2022-02-25,2022-04-25,28 days,87 days,59 days
