,title,long_url,date_created,date_range_start,date_range_end,created_start,created_end,start_end,clicks_for_all_time
https://penncobaltplus.com/3inZcqM,Cobalt,https://www.penncobalt.com/on-your-time/bdf7f7f5-912f-4d8b-9329-f6d756f0be55,2022-11-28,2022-11-28,2022-12-05,0 days,7 days,7 days,1
https://penncobaltplus.com/3E3E0z1,Cobalt,https://www.penncobalt.com/on-your-time/e8fc416d-af4f-4871-8669-c133907cddae?utm_source=cobalt&utm_medium=month3&utm_campaign=oct+2022,2022-09-30,2022-09-30,2022-11-28,0 days,59 days,59 days,1
https://penncobaltplus.com/3r7SB5s,PennKey Recovery Service,https://challengeresponse.apps.upenn.edu/challengeResponse/jsp/fast.do?fastStart=resetPassword&utm_source=penn&utm_medium=key&utm_campaign=password,2022-01-28,2022-05-20,2022-07-18,112 days,171 days,59 days,1
https://penncobaltplus.com/3zGEAjo,Cobalt,https://www.penncobalt.com/on-your-time/f7a6f530-cc51-4fad-9d62-b75aafbc9f52?utm_source=cobalt&utm_medium=monthly+3&utm_campaign=august+1,2022-07-29,2022-08-12,2022-10-10,14 days,73 days,59 days,1
https://penncobaltplus.com/36HoWsH,Cobalt,https://www.penncobalt.com/on-your-time/c74c24e7-9cf3-4af5-a40e-a0e0fd1aaa8f?utm_source=cobalt&utm_medium=april+2022+popular+content&utm_campaign=april+2022+popular+content,2022-04-01,2022-04-05,2022-06-03,4 days,63 days,59 days,1
https://penncobaltplus.com/3qU7nML,Cobalt,https://www.penncobalt.com/on-your-time/84ee5ddb-4acd-4d9c-bd80-37329feb1cea?utm_source=cobalt&utm_medium=month3&utm_campaign=april+2022+popular+content,2022-04-01,2022-04-05,2022-06-03,4 days,63 days,59 days,2
https://penncobaltplus.com/3U92lYp,Cobalt,https://www.penncobalt.com/on-your-time/5ddfe9c0-e69a-4bfb-9388-29c4203605ac,2022-11-28,2022-11-28,2022-12-05,0 days,7 days,7 days,2
https://penncobaltplus.com/36ZU4U8,Qualtrics Survey | Qualtrics Experience Management,https://upenn.co1.qualtrics.com/jfe/form/SV_8ew9E5HybDBSG46?utm_source=qualtrics&utm_medium=informed+consent&utm_campaign=informed+consent,2022-04-07,2022-04-05,2022-06-03,-2 days,57 days,59 days,2
https://penncobaltplus.com/3gW589w,Cobalt,https://www.penncobalt.com/on-your-time/d0d93fd5-5add-4af8-9d29-ce7bea63a125?utm_source=cobalt&utm_medium=month6&utm_campaign=nov+22,2022-10-31,2022-11-28,2022-12-05,28 days,35 days,7 days,2
https://penncobaltplus.com/3g6bf7K,Cobalt,https://www.penncobalt.com/on-your-time/d7228f93-c572-4290-8378-9aae56b3d940?utm_source=cobalt&utm_medium=monthly&utm_campaign=jan+2022,2022-01-28,2022-01-28,2022-03-28,0 days,59 days,59 days,2
https://cobaltplus.info/3nivtiv,Cobalt,https://www.penncobalt.com/on-your-time/1b0621ea-0530-40e3-99e6-03a36f3c94cf?utm_source=cobalt&utm_medium=monthly&utm_campaign=jan+2022,2022-01-13,2022-01-28,2022-03-28,15 days,74 days,59 days,2
https://cobaltplus.info/3ffVY3A,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=PSYCHIATRIST&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=page&utm_campaign=jan+2022,2022-01-12,2022-01-21,2022-03-21,9 days,68 days,59 days,2
https://cobaltplus.info/31QpJov,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=page&utm_campaign=jan+2022,2022-01-12,2022-01-07,2022-03-07,-5 days,54 days,59 days,2
https://penncobaltplus.com/3sLI9ke,Cobalt,https://www.penncobalt.com/on-your-time/b00f3046-96ef-40ba-8b21-0733758bcf61?utm_source=cobalt&utm_medium=month3&utm_campaign=nov+22,2022-10-31,2022-11-28,2022-12-05,28 days,35 days,7 days,2
https://penncobaltplus.com/3rser3o,Qualtrics Survey | Qualtrics Experience Management,https://upenn.co1.qualtrics.com/jfe/form/SV_cC6uLGeaP1g7hXM?utm_source=qualtrics&utm_medium=faq&utm_campaign=faq,2022-04-15,2023-01-30,2023-02-06,290 days,297 days,7 days,2
https://penncobaltplus.com/3PWmJer,Cobalt,https://www.penncobalt.com/on-your-time/0e722b38-b101-4a8c-8a2e-f34ff19137ea?utm_source=cobalt&utm_medium=month3&utm_campaign=june+2022,2022-05-31,2022-07-01,2022-08-29,31 days,90 days,59 days,3
https://penncobaltplus.com/3Ak2u4Z,Cobalt,https://www.penncobalt.com/on-your-time/0091d67e-8fd9-42fd-97e9-0a8c27d9d9b0?utm_source=cobalt&utm_medium=month+6&utm_campaign=july+2022,2022-07-01,2022-07-24,2022-09-21,23 days,82 days,59 days,3
https://bit.ly/3oOwYG7,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO,2021-12-13,2022-01-07,2022-03-07,25 days,84 days,59 days,3
https://penncobaltplus.com/36KGmVb,Cobalt,https://www.penncobalt.com/on-your-time/719225f9-4d01-4e6d-92aa-3cbb82003f02?utm_source=cobalt&utm_medium=april+populat+content&utm_campaign=april+2022+popular+content,2022-04-01,2022-04-24,2022-06-22,23 days,82 days,59 days,3
https://penncobaltplus.com/3R8jPDG,Cobalt,https://www.penncobalt.com/on-your-time/c2b5644b-9829-4bd5-a13a-b0c20bfcd111?utm_source=cobalt&utm_medium=month6&utm_campaign=aug31,2022-08-31,2022-09-09,2022-11-07,9 days,68 days,59 days,4
https://penncobaltplus.com/3UM0oD3,Cobalt,https://www.penncobalt.com/on-your-time/70d9e9f6-1005-4d18-88c4-b1d9b7c9b5e7,2022-09-30,2023-02-13,2023-02-20,136 days,143 days,7 days,5
https://penncobaltplus.com/3AHZaic,Forgot My PennKey Username,https://challengeresponse.apps.upenn.edu/challengeResponse/jsp/fast.do?fastStart=forgotMyUsername&utm_source=penn&utm_medium=pennkey&utm_campaign=username,2022-01-28,2022-06-24,2022-08-22,147 days,206 days,59 days,5
https://cobaltplus.info/3rfR5Np,,https://redcap.link/cobaltRCT?utm_source=redcap&utm_medium=screening&utm_campaign=survey,2022-01-12,2022-01-28,2022-03-28,16 days,75 days,59 days,6
https://penncobaltplus.com/3cxnXOr,Cobalt,https://www.penncobalt.com/on-your-time/4caecc24-d3fc-4760-84fc-7ff123d83968?utm_source=cobalt&utm_medium=month3&utm_campaign=aug+31,2022-08-31,2023-02-13,2023-02-20,166 days,173 days,7 days,6
https://penncobaltplus.com/3zhfOoL,Cobalt,https://www.penncobalt.com/on-your-time/65871a0f-fbfc-4f0b-b165-f4804aab729f?utm_source=cobalt&utm_medium=month+6&utm_campaign=august+1,2022-07-29,2022-09-23,2022-11-21,56 days,115 days,59 days,7
https://penncobaltplus.com/3B0hEwg,Cobalt,https://www.penncobalt.com/on-your-time/e34e65a6-7bb0-44c8-a9e6-5e61ed04a1a9?utm_source=cobalt&utm_medium=month6&utm_campaign=aug+31,2022-08-31,2023-01-30,2023-02-06,152 days,159 days,7 days,8
https://penncobaltplus.com/3AkYEbT,Cobalt,https://www.penncobalt.com/on-your-time/35c46958-be34-4ee4-b7d1-22d27e06f2c2?utm_source=cobalt&utm_medium=month6&utm_campaign=july+2022,2022-07-01,2022-08-28,2022-10-26,58 days,117 days,59 days,8
https://penncobaltplus.com/3nzHHDc,Cobalt,https://www.penncobalt.com/on-your-time/fd5a631c-7985-4274-a1a3-34ed5b20f13c?utm_source=cobalt&utm_medium=month3&utm_campaign=july+2022,2022-07-01,2022-09-16,2022-11-14,77 days,136 days,59 days,9
https://penncobaltplus.com/3OY4a8A,Cobalt,https://www.penncobalt.com/on-your-time/74ca8a76-e46d-46a9-b411-77c3ca9352ca?utm_source=cobalt&utm_medium=month3&utm_campaign=july+2022,2022-07-01,2022-09-30,2022-11-28,91 days,150 days,59 days,9
