Start,Finish,Month,bit.ly link,Featured ,Code
1/28/22,3/31/22,3,https://penncobaltplus.com/3r7UfE5,,
1/28/22,3/31/22,3,https://penncobaltplus.com/3HevA6s,,
1/28/22,3/31/22,3,https://penncobaltplus.com/3INd4T6,,
4/1/22,5/1/22,3,https://penncobaltplus.com/3qU7nML,,
4/1/22,5/1/22,3,https://penncobaltplus.com/36KGmVb,,
4/1/22,5/1/22,3, https://penncobaltplus.com/36HoWsH,,
5/2/22,5/31/22,3,https://penncobaltplus.com/3MMqxwE ,,
5/2/22,5/31/22,3,https://penncobaltplus.com/3MOkJmq ,,
5/2/22,5/31/22,3,https://penncobaltplus.com/3OTF9Mo ,First,1
6/1/22,7/1/22,3,https://penncobaltplus.com/3PWmJer ,,
6/1/22,7/1/22,3,https://penncobaltplus.com/3m10V3J ,,
6/1/22,7/1/22,3,https://penncobaltplus.com/3OTF9Mo ,Second,1
7/2/22,7/31/22,3,https://penncobaltplus.com/3AgJ69a,,
7/2/22,7/31/22,3,https://penncobaltplus.com/3OY4a8A,First,2
7/2/22,7/31/22,3,https://penncobaltplus.com/3nzHHDc,First,3
7/2/22,7/31/22,6,https://penncobaltplus.com/3OTF9Mo,,
7/2/22,7/31/22,6,https://penncobaltplus.com/3Ak2u4Z,,
7/2/22,7/31/22,6,https://penncobaltplus.com/3AkYEbT ,First,4
8/1/22,8/30/22,3,https://penncobaltplus.com/3zGEAjo ,,
8/1/22,8/30/22,3,https://penncobaltplus.com/3AkYEbT ,Second,4
8/1/22,8/30/22,3, https://penncobaltplus.com/3AgJ69a,,
8/1/22,8/30/22,6,https://penncobaltplus.com/3nzHHDc,Second,3
8/1/22,8/30/22,6,https://penncobaltplus.com/3zhfOoL ,,
8/1/22,8/30/22,6,https://penncobaltplus.com/3OY4a8A,Second,2
8/31/22,9/30/22,3,https://penncobaltplus.com/3QXIbzX ,First,5
8/31/22,9/30/22,3,https://penncobaltplus.com/3KwQSyV ,First,6
8/31/22,9/30/22,3,https://penncobaltplus.com/3cxnXOr ,First,7
8/31/22,9/30/22,6,https://penncobaltplus.com/3R6LWD9 ,First,8
8/31/22,9/30/22,6,https://penncobaltplus.com/3B0hEwg ,First,9
8/31/22,9/30/22,6,https://penncobaltplus.com/3R8jPDG ,,
10/1/22,10/31/22,3,https://penncobaltplus.com/3QXIbzX ,Second,5
10/1/22,10/31/22,3,https://penncobaltplus.com/3KwQSyV ,Second,6
10/1/22,10/31/22,3,https://penncobaltplus.com/3cxnXOr ,Second,7
10/1/22,10/31/22,6,https://penncobaltplus.com/3R6LWD9 ,Second,8
10/1/22,10/31/22,6,https://penncobaltplus.com/3B0hEwg ,Second,9
10/1/22,10/31/22,6, https://penncobaltplus.com/3R8jPDG ,,
11/1/22,11/29/22,3,https://penncobaltplus.com/3DkuCVL ,,
11/1/22,11/29/22,3,https://penncobaltplus.com/3E3E0z1 ,,
11/1/22,11/29/22,3,https://penncobaltplus.com/3sLI9ke ,,
11/1/22,11/29/22,6,https://penncobaltplus.com/3cxnXOr ,Third,7
11/1/22,11/29/22,6,https://penncobaltplus.com/3UM0oD3 ,,
11/1/22,11/29/22,6,https://penncobaltplus.com/3gW589w ,,
