,content_id,created,content_type_id,title,description,author,duration_in_minutes,view_count
0,c2c31499-5b71-4227-b733-89fd041826c8,2022-12-01 19:55:05.342325+00:00,PODCAST,The Wellfocused Podcast: Ep. 40 - What Gets Your Moving? (ft. Carly Musser),"Carly Musser, and Exercise Physiologist and Mental Performance Consultant, joins The Wellfocused Podcast to discuss the motivation behind exercise. We dive into how motivation varies person to person, what types of motivation are most effective, and the importance of finding your ""why"".",Mitch Sherman,22.0,72
1,5ddfe9c0-e69a-4bfb-9388-29c4203605ac,2022-11-11 19:10:42.290352+00:00,PODCAST,The Wellfocused Podcast: Ep. 15 - Leadership and Innovation (ft. Roy Rosin),"The Wellfocused Podcast welcomes Roy Rosin, Chief Innovation Officer at Penn Medicine. Roy shares his perspective on what innovation means to him and what draws him to his position. Additionally, Roy discusses how he views leadership, what he learned from his mentors, and how to factor in the human element into making organizations work.",Mitch Sherman,40.0,67
2,bdf7f7f5-912f-4d8b-9329-f6d756f0be55,2022-11-10 18:51:09.371785+00:00,PODCAST,The Wellfocused Podcast: Ep. 40 - Proper Pronoun-ing (ft. Jessica Cooper),"Social Worker Jessica Cooper joins The Wellfocused Podcast to discuss the ins and outs of modern day pronoun usage. We discuss how and why it is important to use pronounce correctly, societal influence, and why it is vital to respect someone's identity.",Mitch Sherman,32.0,36
3,53b97d96-4eb6-4482-bb4d-2b50c263d32d,2022-10-06 19:12:03.983736+00:00,PODCAST,The Wellfocused Podcast: Ep. 38 - Is Sitting The New Smoking?,"On this episode of The Wellfocused Podcast, I dissect a couple research articles that tackle the ever-growing question: Is Sitting The New Smoking? With an increase in remote work as a result of the COVID-19 pandemic, it is important to consider the risks that come with excessive sitting. However, is this more dangerous than smoking, as this trendy question seems to imply?",Mitch Sherman,5.0,18
4,9e8bbcf3-248d-421a-854a-f520df24220a,2022-11-03 15:49:51.903990+00:00,ARTICLE,Reading List from The Office of Inclusion and Diversity,Reading List from The Office of Inclusion and Diversity,Penn Medicine. Office of Inclusion and Diversity,5.0,13
5,70d9e9f6-1005-4d18-88c4-b1d9b7c9b5e7,2022-07-29 17:26:21.571381+00:00,EXT_BLOG,Lindsay Bowler - PMX Week Stories of Cultural Humility,"<p>If there’s a need for change, and we have a vision for it, my team is encouraged to do it. We’re not deterred by challenges or bumps in the road.&nbsp;&nbsp;</p><p><br></p><p>Setting up equipment for a CPR class with my supervisor, we looked across the room and saw a sea of light-skinned manikins. Around the same time, our colleague pointed out that the infusion manikins were almost exclusively light-skinned.&nbsp;&nbsp;&nbsp;</p><p><br></p><p>After identifying this opportunity for growth in our department, we started the process of purchasing more training equipment and manikins with multiple different skin tones. Now when we meet with vendors, one of the first questions we ask is about diversity and inclusion, both in their products and in their practices as an organization. It can be hard to find training equipment and manikins that are not light-skinned, but we’re starting to see our vendors make strides toward providing more diverse options.&nbsp;&nbsp;&nbsp;</p><p><br></p><p>I never want someone to feel unwelcome when they walk into one of our trainings. Nor do I want providers to have gaps in their training because they’ve only worked with manikins representing light-skinned patients.&nbsp;&nbsp;</p><p><br></p><p>Our patients and our clinicians come from many different racial, ethnic, and cultural backgrounds, and our equipment, tools, and training gear should reflect the population we serve.&nbsp;&nbsp;</p><p><br></p><p>Changing the way we do things isn’t always easy, but it’s the right thing to do.&nbsp;&nbsp;</p><p>&nbsp;</p>",Penn Medicine Experience,8.0,10
6,b00f3046-96ef-40ba-8b21-0733758bcf61,2022-07-06 15:42:37.968143+00:00,EXT_BLOG,Tanira Butcher - PMX Week Stories of Cultural Humility,"When I’m with a patient, it’s like I’m their family member for the day.  

My patient was an elderly woman who had late-stage cancer. When I got to her room, I heard from the nurses that she had not slept well. Like many people with dementia, she had her days and nights confused and was restless. I started by giving her a bath because sometimes that helps people wake up. She was a little bit agitated, so I thought about how I could make her feel more comfortable.  

The only real barrier between us was language — I don’t speak any Vietnamese, Thai, or Arabic, which were my patient’s languages, and she didn’t speak any English. We had tried using the interpreter service, but my patient wasn’t really engaging with it.  

 I decided to look for Thai music to play on my phone for her. I saw that the music soothed her, and she sat up in bed and let me hold her hand. She even seemed to be singing along with it.  

 Later that day, a friend of my patient came to visit her. She told me my patient was actually saying her prayers, not singing. I looked up Thai prayers and began playing those on my phone. Our culture, our beliefs are so important to who we are, and it really helped me to care for my patient when I learned more about her.  

 After her friend left, I brought out a basket of clean towels and told her that I’d washed some clothes and needed help folding them. She folded up the towels, then I put them in a pile and quietly moved them back to the basket so she could fold them again. Everyone folds laundry, and I wanted her to feel like she was doing something normal that she would do in her daily life.  

It’s like I was hanging out with my grandma — she just speaks a different language than I do.",Penn Medicine Experience,,9
7,e8fc416d-af4f-4871-8669-c133907cddae,2022-08-24 19:52:04.444005+00:00,PODCAST,"The Wellfocused Podcast: Sn. 4, Ep. 7 - Social Determinants of Health (ft. Winter Wiggins)","Winter Wiggins, Employee Program Specialist & Care Navigator, joins the Wellfocused Podcast to discuss Project Thrive and social determinants of health. Often times, the reasons behind our health issues are more than meets the eye. Here, we discuss how our socioeconomic standing can determine our health outcomes.",Mitch Sherman,21.0,8
8,d32e15c2-c117-453d-bc6d-104a681e5317,2021-11-23 16:44:30.366317+00:00,EXT_BLOG,ABC123: A Cheatsheet for a Calm Thanksgiving,"<p>Keep this simple exercise in mind this holiday season when you inevitably find yourself in need of a good dose of calm. Whether it's the time your in-laws comment on your cooking skills, when you find the kids scrawling their latest masterpiece across the basement walls, or when you remember the person missing from the holiday table, keep in mind: <strong>ABC123</strong></p><p><br></p><p><strong>A: Awareness. </strong>Notice your body, hands, legs, feet. Orient to who you are, where you are, what day it is, and the time</p><p><strong>B: Breath. </strong>Draw in 3 long, slow, comfortable deep breaths. Prolong the exhale</p><p><strong>C: Count. </strong>Identify 3 things you can see, you can hear, you can feel, you can smell, you can taste</p><p><strong>1. One Thing. </strong>What is the 1 next thing for you to do right now?</p><p><strong>2. Two Strengths. </strong> What are 2 strengths you can draw on right now? (These may be internal strengths or external resources)</p><p><strong>3. Three Thanks. </strong> What are 3 things you are grateful for right now? (these may be small or large)</p>",Dr. Rachel Kishton,5.0,8
9,719225f9-4d01-4e6d-92aa-3cbb82003f02,2022-02-21 15:16:36.896841+00:00,PODCAST,What is Brain Fog?,"Have you been feeling disorganized, mentally sluggish, and unable to remember things as well as you used to? If you are struggling to concentrate or pay attention, you might be struggling with brain fog. In this podcast, Dr. Lily Brown, Director of the Center for Treatment and Study of Anxiety, will discuss symptoms of brain fog and what you can do about them. This will serve useful for anyone looking to optimize their mental clarity and boost their well-being and productivity amidst this ongoing pandemic and beyond.",Dr. Lily Brown,6.0,7
