Bitlink,Custom Bitlink,Date Created,Title,Long URL,Clicks for all time,Clicks for date range,Status
https://penncobaltplus.com/35r1wGN,https://penncobaltplus.com/survey,01/28/2022,,https://redcap.link/cobaltRCT?utm_source=redcap&utm_medium=screening&utm_campaign=survey,576,315,
http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,01/28/2022,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,183,138,
http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,01/28/2022,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,94,79,
https://penncobaltplus.com/3Hbgw9X,https://penncobaltplus.com/homepage,01/28/2022,Cobalt,https://www.penncobalt.com/?utm_source=cobalt&utm_medium=homepage&utm_campaign=homepage,58,47,
https://penncobaltplus.com/3G9GOYK,https://penncobaltplus.com/on-your-time,01/28/2022,Cobalt,https://www.penncobalt.com/on-your-time/6ceb326f-37be-4958-901c-63ce4ea38d94?utm_source=cobalt&utm_medium=monthly&utm_campaign=jan+2022,43,41,
https://penncobaltplus.com/3GexGSC,https://penncobaltplus.com/connect-with-care,01/28/2022,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=PSYCHIATRIST&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=psych&utm_campaign=psych,11,8,
https://penncobaltplus.com/36KGmVb,,04/01/2022,Cobalt,https://www.penncobalt.com/on-your-time/719225f9-4d01-4e6d-92aa-3cbb82003f02?utm_source=cobalt&utm_medium=april+populat+content&utm_campaign=april+2022+popular+content,3,3,
https://penncobaltplus.com/3AHZaic,https://penncobaltplus.com/pennkeyusername,01/28/2022,Forgot My PennKey Username,https://challengeresponse.apps.upenn.edu/challengeResponse/jsp/fast.do?fastStart=forgotMyUsername&utm_source=penn&utm_medium=pennkey&utm_campaign=username,3,2,
https://penncobaltplus.com/3qU7nML,,04/01/2022,Cobalt,https://www.penncobalt.com/on-your-time/84ee5ddb-4acd-4d9c-bd80-37329feb1cea?utm_source=cobalt&utm_medium=month3&utm_campaign=april+2022+popular+content,2,2,
https://penncobaltplus.com/36ZU4U8,https://penncobaltplus.com/informedconsent,04/07/2022,Qualtrics Survey | Qualtrics Experience Management,https://upenn.co1.qualtrics.com/jfe/form/SV_8ew9E5HybDBSG46?utm_source=qualtrics&utm_medium=informed+consent&utm_campaign=informed+consent,2,2,
https://penncobaltplus.com/36HoWsH,,04/01/2022,Cobalt,https://www.penncobalt.com/on-your-time/c74c24e7-9cf3-4af5-a40e-a0e0fd1aaa8f?utm_source=cobalt&utm_medium=april+2022+popular+content&utm_campaign=april+2022+popular+content,1,1,
https://penncobaltplus.com/3rser3o,https://penncobaltplus.com/clincardfaq,04/15/2022,Qualtrics Survey | Qualtrics Experience Management,https://upenn.co1.qualtrics.com/jfe/form/SV_cC6uLGeaP1g7hXM?utm_source=qualtrics&utm_medium=faq&utm_campaign=faq,1,1,
