Bitlink,Custom Bitlink,Date Created,Title,Long URL,Clicks for all time,Clicks for date range,Status
https://penncobaltplus.com/3KSNu0T,https://penncobaltplus.com/in-the-studio,1/28/22,Cobalt,https://www.penncobalt.com/in-the-studio?utm_source=cobalt&utm_medium=static&utm_campaign=studio,193,122,
http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,1/28/22,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,398,68,
https://penncobaltplus.com/3G9GOYK,https://penncobaltplus.com/on-your-time,1/28/22,Cobalt,https://www.penncobalt.com/on-your-time/6ceb326f-37be-4958-901c-63ce4ea38d94?utm_source=cobalt&utm_medium=monthly&utm_campaign=jan+2022,148,57,
https://penncobaltplus.com/35r1wGN,https://penncobaltplus.com/survey,1/28/22,,https://redcap.link/cobaltRCT?utm_source=redcap&utm_medium=screening&utm_campaign=survey,890,45,
https://penncobaltplus.com/3Hbgw9X,https://penncobaltplus.com/homepage,1/28/22,Cobalt,https://www.penncobalt.com/?utm_source=cobalt&utm_medium=homepage&utm_campaign=homepage,166,29,
https://penncobaltplus.com/3AgJ69a,,7/1/22,Cobalt,https://www.penncobalt.com/on-your-time/e1ce20a5-8d3f-4b41-8beb-4988f3442953?utm_source=cobalt&utm_medium=month3&utm_campaign=july+2022,23,23,
http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,1/28/22,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,175,21,
https://penncobaltplus.com/3OTF9Mo,,5/2/22,Cobalt,https://www.penncobalt.com/on-your-time/8e36d2bc-cb47-456f-b8d2-7936cef2056d?utm_source=cobalt&utm_medium=top&utm_campaign=may+2022,28,19,
https://penncobaltplus.com/3vLl4Ax,https://penncobaltplus.com/ClinCardFAQ,5/5/22,Box,https://upenn.box.com/s/mxlafo5echcubp30ru8kame54j0cc3h3?utm_source=visa+&utm_medium=clincard&utm_campaign=faq,111,10,
https://penncobaltplus.com/3nzHHDc,,7/1/22,Cobalt,https://www.penncobalt.com/on-your-time/fd5a631c-7985-4274-a1a3-34ed5b20f13c?utm_source=cobalt&utm_medium=month3&utm_campaign=july+2022,8,8,
https://penncobaltplus.com/3OY4a8A,,7/1/22,Cobalt,https://www.penncobalt.com/on-your-time/74ca8a76-e46d-46a9-b411-77c3ca9352ca?utm_source=cobalt&utm_medium=month3&utm_campaign=july+2022,7,7,
https://penncobaltplus.com/3AkYEbT,,7/1/22,Cobalt,https://www.penncobalt.com/on-your-time/35c46958-be34-4ee4-b7d1-22d27e06f2c2?utm_source=cobalt&utm_medium=month6&utm_campaign=july+2022,5,5,
https://penncobaltplus.com/3PWmJer,,5/31/22,Cobalt,https://www.penncobalt.com/on-your-time/0e722b38-b101-4a8c-8a2e-f34ff19137ea?utm_source=cobalt&utm_medium=month3&utm_campaign=june+2022,3,3,
https://penncobaltplus.com/3Ak2u4Z,,7/1/22,Cobalt,https://www.penncobalt.com/on-your-time/0091d67e-8fd9-42fd-97e9-0a8c27d9d9b0?utm_source=cobalt&utm_medium=month+6&utm_campaign=july+2022,3,3,
https://penncobaltplus.com/3m10V3J,,5/31/22,Cobalt,https://www.penncobalt.com/on-your-time/74ca8a76-e46d-46a9-b411-77c3ca9352ca?utm_source=cobalt&utm_medium=monthly+3&utm_campaign=june+2022,2,2,
https://penncobaltplus.com/3AHZaic,https://penncobaltplus.com/pennkeyusername,1/28/22,Forgot My PennKey Username,https://challengeresponse.apps.upenn.edu/challengeResponse/jsp/fast.do?fastStart=forgotMyUsername&utm_source=penn&utm_medium=pennkey&utm_campaign=username,5,1,
https://penncobaltplus.com/3zhfOoL,,7/29/22,Cobalt,https://www.penncobalt.com/on-your-time/65871a0f-fbfc-4f0b-b165-f4804aab729f?utm_source=cobalt&utm_medium=month+6&utm_campaign=august+1,1,1,
