,record_id,survey_timestamp,learn_skills_rating,use_skills_rating,cope_wellbeng_rating,satisfied_session_rating,what_helpful,what_change,what_motivated,days_week,times_day,future_topics,referral_source,host_name,session_date,session_name,response_id,session_id,Mon,Tue,Wed,Thu,Fri,Sat,Sun,afternoon,evening,lunch,morning,email,friend/colleague,limeaid,referral_other,pm report,wellfocused,resp_concat_text,resp_concat_text_wc
0,0,2023-06-20 11:41:00,4.0,7.0,4.0,5.0,the overview of ptsd,make it an hour instead of only half hour,personal ptsd,"monday,,tuesday,,thursday,,friday","lunch,,afternoon",,pm report,lily,2023-06-19,recognizing trauma and ptsd,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,personal ptsd the overview of ptsd make it an hour instead of only half hour,15
1,1,2023-06-29 11:56:00,4.0,7.0,4.0,5.0,mrs. brown is personable and mindful of chat questions.,,depression,,,,"pm report, wellfocused",lily,2023-06-28,family check-in,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,depression mrs. brown is personable and mindful of chat questions.,10
2,2,2023-06-29 12:08:00,4.0,6.0,3.0,5.0,"dr. lily brown is phenomenal. she backs up her talks with research, but keeps the conversation in everyday language and relatable.",,i've attended many talks by dr. lily brown in the past and she keeps me coming back for more.,"all,days","morning,,lunch,,afternoon",pregnancy/postpartum related anxiety/depression/stress,"pm report, wellfocused, limeaid",lily,2023-06-28,family check-in,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,"i've attended many talks by dr. lily brown in the past and she keeps me coming back for more. dr. lily brown is phenomenal. she backs up her talks with research, but keeps the conversation in everyday language and relatable.  pregnancy/postpartum related anxiety/depression/stress",43
3,3,2023-06-30 09:23:00,4.0,6.0,3.0,5.0,,,,,,,,lily,2023-06-28,family check-in,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
4,4,2023-07-07 11:39:00,3.0,7.0,3.0,4.0,"the message ""don't be so hard on myself!""",longer time,i've been feeling depressed.,monday,lunch,relationship with partner,wellfocused,lily,2023-07-06,recovering from family conflict,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"i've been feeling depressed. the message ""don't be so hard on myself!"" longer time relationship with partner",17
5,5,2023-07-10 10:41:00,3.0,5.0,4.0,4.0,,,have to deal with isssues with my parents,"tuesday,,wednesday,,thursday,,friday",all,,pm report,lily,2023-07-06,recovering from family conflict,1,2,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,have to deal with isssues with my parents,8
6,6,2023-07-15 14:34:00,4.0,6.0,3.0,5.0,,,,,,,,lily,2023-07-14,breaking bad habits,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
7,7,2023-07-15 15:20:00,4.0,7.0,4.0,5.0,to think differently,available to review and share with others,needed help with breaking a habit,friday,"lunch,,afternoon",other self help techniques,"wellfocused, limeaid",lily,2023-07-14,breaking bad habits,1,3,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,needed help with breaking a habit to think differently available to review and share with others other self help techniques,20
8,8,2023-07-15 17:38:00,3.0,7.0,3.0,4.0,everything,nothing is great,anxiety,,evening,,limeaid,lily,2023-07-14,breaking bad habits,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,anxiety everything nothing is great,5
9,9,2023-07-15 21:34:00,3.0,5.0,3.0,5.0,,,curious about bad habits versus addiction,friday,morning,,pm report,lily,2023-07-14,breaking bad habits,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,curious about bad habits versus addiction,6
10,10,2023-07-16 13:33:00,4.0,4.0,4.0,5.0,applying to everyday life,,a better me,tuesday,morning,,"wellfocused, limeaid",lily,2023-07-14,breaking bad habits,4,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,a better me applying to everyday life,7
11,11,2023-07-16 18:03:00,3.0,4.0,3.0,4.0,,,,"monday,,friday",morning,,limeaid,lily,2023-07-14,breaking bad habits,5,3,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,,0
12,12,2023-07-16 20:00:00,4.0,5.0,3.0,5.0,"i found applicable tips/recommendations and lots of encouragement to make change slowly, one step at a time, and to be gentle with myself along the way.",,i thoroughly enjoy dr. brown's sessions! she is so knowledgeable and uses research to back her recommendations for behavior change in a very actionable way.,all,all,pregnancy and postpartum mood changes.,"pm report, wellfocused, limeaid",lily,2023-07-14,breaking bad habits,6,3,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,"i thoroughly enjoy dr. brown's sessions! she is so knowledgeable and uses research to back her recommendations for behavior change in a very actionable way. i found applicable tips/recommendations and lots of encouragement to make change slowly, one step at a time, and to be gentle with myself along the way.  pregnancy and postpartum mood changes.",56
13,13,2023-07-17 07:30:00,3.0,5.0,2.0,3.0,,,,,afternoon,,limeaid,lily,2023-07-14,breaking bad habits,7,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,0
14,14,2023-07-17 07:43:00,3.0,6.0,3.0,4.0,to set smaller goals.,no recommendations.,to participate in wellfocused program.,friday,"morning,,lunch,,afternoon",any.,wellfocused,lily,2023-07-14,breaking bad habits,8,3,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,to participate in wellfocused program. to set smaller goals. no recommendations. any.,12
