,source,target,color,path,label,value,level
0,0,1,"rgba(0,0,255,0.2)",no_symptoms-->mild-->inconclusive-->inconclusive-->mild,mild,1,0
1,0,1,"rgba(0,0,255,0.2)",no_symptoms-->moderately_severe-->inconclusive-->inconclusive-->mild,mild,1,0
2,0,1,"rgba(0,0,255,0.2)",no_symptoms-->inconclusive-->inconclusive-->inconclusive-->mild,mild,571,0
3,1,21,"rgba(0,255,0,0.2)",no_symptoms-->mild-->inconclusive-->inconclusive-->mild,mild,1,4
4,1,21,"rgba(0,255,0,0.2)",no_symptoms-->moderately_severe-->inconclusive-->inconclusive-->mild,mild,1,4
5,1,21,"rgba(0,255,0,0.2)",no_symptoms-->inconclusive-->inconclusive-->inconclusive-->mild,mild,571,4
6,0,2,"rgba(0,255,0,0.2)",mild-->no_symptoms-->no_symptoms-->no_symptoms-->mild,mild,47,0
7,0,2,"rgba(0,255,0,0.2)",mild-->no_symptoms-->no_symptoms-->followup_sensitivity-->moderate,moderate,2,0
8,0,2,"rgba(0,255,0,0.2)",mild-->no_symptoms-->no_symptoms-->inconclusive-->inconclusive,inconclusive,1,0
9,0,2,"rgba(0,255,0,0.2)",mild-->no_symptoms-->mild-->no_symptoms-->mild,mild,125,0
10,0,2,"rgba(0,255,0,0.2)",mild-->no_symptoms-->mild-->followup_sensitivity-->moderate,moderate,9,0
11,0,2,"rgba(0,255,0,0.2)",mild-->no_symptoms-->mild-->followup_efficiency-->moderate,moderate,4,0
12,0,2,"rgba(0,255,0,0.2)",mild-->no_symptoms-->mild-->inconclusive-->inconclusive,inconclusive,1,0
13,0,2,"rgba(0,255,0,0.2)",mild-->no_symptoms-->moderate-->no_symptoms-->moderate,moderate,13,0
14,0,2,"rgba(0,255,0,0.2)",mild-->no_symptoms-->moderate-->followup_sensitivity-->moderate,moderate,2,0
15,0,2,"rgba(0,255,0,0.2)",mild-->no_symptoms-->moderate-->followup_efficiency-->moderate,moderate,1,0
16,0,2,"rgba(0,255,0,0.2)",mild-->no_symptoms-->moderate-->inconclusive-->inconclusive,inconclusive,1,0
17,0,2,"rgba(0,255,0,0.2)",mild-->no_symptoms-->severe-->no_symptoms-->moderate,moderate,1,0
18,0,2,"rgba(0,255,0,0.2)",mild-->no_symptoms-->inconclusive-->inconclusive-->inconclusive,inconclusive,4,0
19,0,2,"rgba(0,255,0,0.2)",mild-->mild-->no_symptoms-->no_symptoms-->mild,mild,77,0
20,0,2,"rgba(0,255,0,0.2)",mild-->mild-->no_symptoms-->followup_sensitivity-->moderate,moderate,3,0
21,0,2,"rgba(0,255,0,0.2)",mild-->mild-->no_symptoms-->followup_efficiency-->moderate,moderate,4,0
