,source,target,color,path,label,value,level
0,0,1,"rgba(0,0,255,0.2)",no_symptoms-->mild-->inconclusive-->inconclusive-->mild,no_symptoms-->mild-->inconclusive-->inconclusive-->mild,1,0
1,0,1,"rgba(0,0,255,0.2)",no_symptoms-->moderately_severe-->inconclusive-->inconclusive-->mild,no_symptoms-->moderately_severe-->inconclusive-->inconclusive-->mild,1,0
2,0,1,"rgba(0,0,255,0.2)",no_symptoms-->inconclusive-->inconclusive-->inconclusive-->mild,no_symptoms-->inconclusive-->inconclusive-->inconclusive-->mild,572,0
3,1,21,"rgba(0,255,0,0.2)",no_symptoms-->mild-->inconclusive-->inconclusive-->mild,no_symptoms-->mild-->inconclusive-->inconclusive-->mild,1,4
4,1,21,"rgba(0,255,0,0.2)",no_symptoms-->moderately_severe-->inconclusive-->inconclusive-->mild,no_symptoms-->moderately_severe-->inconclusive-->inconclusive-->mild,1,4
5,1,21,"rgba(0,255,0,0.2)",no_symptoms-->inconclusive-->inconclusive-->inconclusive-->mild,no_symptoms-->inconclusive-->inconclusive-->inconclusive-->mild,572,4
6,0,2,"rgba(0,255,0,0.2)",mild-->no_symptoms-->no_symptoms-->no_symptoms-->mild,mild-->no_symptoms-->no_symptoms-->no_symptoms-->mild,48,0
7,0,2,"rgba(0,255,0,0.2)",mild-->no_symptoms-->no_symptoms-->followup_sensitivity-->moderate,mild-->no_symptoms-->no_symptoms-->followup_sensitivity-->moderate,2,0
8,0,2,"rgba(0,255,0,0.2)",mild-->no_symptoms-->no_symptoms-->inconclusive-->inconclusive,mild-->no_symptoms-->no_symptoms-->inconclusive-->inconclusive,1,0
9,0,2,"rgba(0,255,0,0.2)",mild-->no_symptoms-->mild-->no_symptoms-->mild,mild-->no_symptoms-->mild-->no_symptoms-->mild,124,0
10,0,2,"rgba(0,255,0,0.2)",mild-->no_symptoms-->mild-->followup_sensitivity-->moderate,mild-->no_symptoms-->mild-->followup_sensitivity-->moderate,9,0
11,0,2,"rgba(0,255,0,0.2)",mild-->no_symptoms-->mild-->followup_efficiency-->moderate,mild-->no_symptoms-->mild-->followup_efficiency-->moderate,4,0
12,0,2,"rgba(0,255,0,0.2)",mild-->no_symptoms-->mild-->inconclusive-->inconclusive,mild-->no_symptoms-->mild-->inconclusive-->inconclusive,1,0
13,0,2,"rgba(0,255,0,0.2)",mild-->no_symptoms-->moderate-->no_symptoms-->moderate,mild-->no_symptoms-->moderate-->no_symptoms-->moderate,13,0
14,0,2,"rgba(0,255,0,0.2)",mild-->no_symptoms-->moderate-->followup_sensitivity-->moderate,mild-->no_symptoms-->moderate-->followup_sensitivity-->moderate,2,0
15,0,2,"rgba(0,255,0,0.2)",mild-->no_symptoms-->moderate-->followup_efficiency-->moderate,mild-->no_symptoms-->moderate-->followup_efficiency-->moderate,1,0
16,0,2,"rgba(0,255,0,0.2)",mild-->no_symptoms-->moderate-->inconclusive-->inconclusive,mild-->no_symptoms-->moderate-->inconclusive-->inconclusive,1,0
