Entity,,,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,,,Aggregate,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Aggregate,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,,,Total,Anonymous,Verified,Anonymous,Email_password,Penn_key_sso,Penn_mpm_sso,Penn_sso,Total,Mild,Moderate,Severe,No,Yes,Total,Clinical,Sub-clinical,Care_manager,Chaplain,Clinician,Coach,Other,Peer,Psychiatrist,Psychologist,Undefined,Total,Total,App,Article,Podcast,Video,Worksheet
Year,Connect with Support,In the Studio,On Your Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,0,0,0,10100.0,7741.0,2359.0,7741.0,1.0,378.0,0.0,1980.0,387.0,200.0,151.0,36.0,339.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0,0,1,2029.0,1333.0,696.0,1333.0,0.0,58.0,0.0,638.0,84.0,50.0,26.0,8.0,73.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4081.0,0.0,1798.0,731.0,1366.0,186.0
2020,0,1,0,237.0,18.0,219.0,18.0,0.0,24.0,0.0,195.0,17.0,12.0,4.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0,1,1,217.0,20.0,197.0,20.0,0.0,10.0,0.0,187.0,19.0,14.0,5.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,391.0,0.0,200.0,45.0,127.0,19.0
2020,1,0,0,716.0,327.0,389.0,327.0,0.0,53.0,0.0,336.0,383.0,117.0,217.0,49.0,335.0,48.0,1072.0,787.0,285.0,2.0,8.0,562.0,266.0,0.0,9.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1,0,1,132.0,38.0,94.0,38.0,0.0,8.0,0.0,86.0,84.0,27.0,54.0,3.0,78.0,6.0,250.0,196.0,54.0,0.0,6.0,161.0,46.0,1.0,1.0,35.0,0.0,0.0,0.0,370.0,0.0,195.0,73.0,82.0,20.0
2020,1,1,0,55.0,3.0,52.0,3.0,0.0,5.0,0.0,47.0,26.0,12.0,14.0,0.0,25.0,1.0,32.0,19.0,13.0,0.0,1.0,17.0,12.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1,1,1,57.0,5.0,52.0,5.0,0.0,6.0,0.0,46.0,27.0,9.0,17.0,1.0,24.0,3.0,84.0,64.0,20.0,0.0,3.0,54.0,17.0,0.0,0.0,10.0,0.0,0.0,4.0,211.0,0.0,96.0,23.0,77.0,15.0
2021,0,0,0,9454.0,8200.0,1254.0,8200.0,0.0,594.0,88.0,572.0,347.0,171.0,141.0,35.0,303.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0,0,1,1182.0,852.0,330.0,852.0,0.0,170.0,0.0,160.0,31.0,13.0,15.0,3.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3366.0,0.0,885.0,1375.0,1089.0,17.0
2021,0,1,0,718.0,460.0,258.0,460.0,0.0,149.0,0.0,109.0,29.0,20.0,7.0,2.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0,1,1,275.0,104.0,171.0,104.0,0.0,93.0,0.0,78.0,20.0,11.0,8.0,1.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,918.0,0.0,206.0,526.0,183.0,3.0
2021,1,0,0,845.0,555.0,290.0,555.0,0.0,135.0,0.0,155.0,301.0,131.0,143.0,27.0,269.0,32.0,1215.0,857.0,358.0,138.0,7.0,714.0,212.0,0.0,1.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,0,1,31.0,11.0,20.0,11.0,0.0,9.0,0.0,11.0,30.0,13.0,14.0,3.0,27.0,3.0,123.0,83.0,40.0,10.0,1.0,73.0,29.0,0.0,0.0,10.0,0.0,0.0,0.0,107.0,0.0,29.0,36.0,42.0,0.0
2021,1,1,0,53.0,14.0,39.0,14.0,0.0,19.0,0.0,20.0,36.0,8.0,25.0,3.0,29.0,7.0,73.0,52.0,21.0,7.0,1.0,44.0,13.0,0.0,0.0,8.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,1,33.0,4.0,29.0,4.0,0.0,18.0,0.0,11.0,25.0,14.0,9.0,2.0,21.0,4.0,80.0,47.0,33.0,5.0,0.0,40.0,28.0,0.0,0.0,7.0,0.0,0.0,86.0,204.0,0.0,95.0,51.0,58.0,0.0
2022,0,0,0,9988.0,7629.0,2359.0,7629.0,0.0,1661.0,0.0,698.0,324.0,154.0,139.0,31.0,273.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0,0,1,1480.0,971.0,509.0,971.0,0.0,329.0,0.0,180.0,36.0,19.0,15.0,2.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5382.0,1.0,736.0,3115.0,1525.0,5.0
2022,0,1,0,2275.0,1290.0,985.0,1290.0,0.0,586.0,0.0,399.0,30.0,13.0,13.0,4.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4116.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0,1,1,490.0,222.0,268.0,222.0,0.0,156.0,0.0,112.0,15.0,9.0,5.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1914.0,3043.0,1.0,343.0,2044.0,648.0,7.0
2022,1,0,0,717.0,420.0,297.0,420.0,0.0,209.0,0.0,88.0,180.0,77.0,99.0,4.0,161.0,19.0,955.0,492.0,463.0,259.0,2.0,489.0,188.0,0.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,0,1,42.0,5.0,37.0,5.0,0.0,31.0,0.0,6.0,17.0,8.0,8.0,1.0,15.0,2.0,63.0,21.0,42.0,17.0,0.0,21.0,22.0,1.0,0.0,0.0,0.0,2.0,0.0,145.0,0.0,60.0,41.0,44.0,0.0
2022,1,1,0,62.0,11.0,51.0,11.0,0.0,39.0,0.0,12.0,33.0,13.0,19.0,1.0,32.0,1.0,112.0,38.0,74.0,37.0,1.0,38.0,35.0,0.0,0.0,0.0,0.0,1.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,1,41.0,9.0,32.0,9.0,0.0,24.0,0.0,8.0,14.0,6.0,6.0,2.0,13.0,1.0,69.0,18.0,51.0,30.0,1.0,18.0,19.0,0.0,0.0,0.0,0.0,1.0,192.0,146.0,0.0,43.0,61.0,37.0,5.0
