Entity,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,Aggregate,Aggregate,Account Type,Account Type,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Aggregate,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Crisis Flag,Crisis Flag,Aggregate,Aggregate,Clinical Level,Clinical Level,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,Total,Total_Group_Pct,Anonymous,Anonymous_Group_Pct,Verified,Verified_Group_Pct,Anonymous,Anonymous_Group_Pct,Email_password,Email_password_Group_Pct,Penn_key_sso,Penn_key_sso_Group_Pct,Penn_mpm_sso,Penn_mpm_sso_Group_Pct,Penn_sso,Penn_sso_Group_Pct,Total,Total_Group_Pct,Mild,Mild_Group_Pct,Moderate,Moderate_Group_Pct,Severe,Severe_Group_Pct,No,No_Group_Pct,Yes,Yes_Group_Pct,Total,Total_Group_Pct,Clinical,Clinical_Group_Pct,Sub-clinical,Sub-clinical_Group_Pct,Care_manager,Care_manager_Group_Pct,Chaplain,Chaplain_Group_Pct,Clinician,Clinician_Group_Pct,Coach,Coach_Group_Pct,Other,Other_Group_Pct,Peer,Peer_Group_Pct,Psychiatrist,Psychiatrist_Group_Pct,Psychologist,Psychologist_Group_Pct,Undefined,Undefined_Group_Pct,Total,Total_Group_Pct,Total,Total_Group_Pct,App,App_Group_Pct,Article,Article_Group_Pct,Podcast,Podcast_Group_Pct,Video,Video_Group_Pct,Worksheet,Worksheet_Group_Pct
Year,Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Connect with Support,960.0,1.0,373.0,0.3885416666666667,587.0,0.6114583333333333,373.0,0.3885416666666667,0.0,0.0,72.0,0.075,0.0,0.0,515.0,0.5364583333333334,520.0,1.0,165.0,0.3173076923076923,302.0,0.5807692307692308,53.0,0.10192307692307692,462.0,0.8884615384615384,58.0,0.11153846153846154,1438.0,1.0,1066.0,0.741307371349096,372.0,0.25869262865090403,2.0,0.0013908205841446453,18.0,0.012517385257301807,794.0,0.5521557719054242,341.0,0.23713490959666203,1.0,0.0006954102920723226,10.0,0.006954102920723227,272.0,0.18915159944367177,0.0,0.0,0.0,0.0,7.0,1.0,581.0,1.0,0.0,0.0,291.0,0.5008605851979346,96.0,0.16523235800344235,159.0,0.2736660929432014,35.0,0.060240963855421686
2020,In the Studio,566.0,1.0,46.0,0.0812720848056537,520.0,0.9187279151943463,46.0,0.0812720848056537,0.0,0.0,45.0,0.07950530035335689,0.0,0.0,475.0,0.8392226148409894,89.0,1.0,47.0,0.5280898876404494,40.0,0.449438202247191,2.0,0.02247191011235955,83.0,0.9325842696629213,6.0,0.06741573033707865,116.0,1.0,83.0,0.7155172413793104,33.0,0.28448275862068967,0.0,0.0,4.0,0.034482758620689655,71.0,0.6120689655172413,29.0,0.25,0.0,0.0,0.0,0.0,12.0,0.10344827586206896,0.0,0.0,0.0,0.0,11.0,1.0,602.0,1.0,0.0,0.0,296.0,0.49169435215946844,68.0,0.11295681063122924,204.0,0.3388704318936877,34.0,0.05647840531561462
2020,On Your Time,2435.0,1.0,1396.0,0.573305954825462,1039.0,0.42669404517453796,1396.0,0.573305954825462,0.0,0.0,82.0,0.03367556468172485,0.0,0.0,957.0,0.3930184804928131,214.0,1.0,100.0,0.4672897196261682,102.0,0.4766355140186916,12.0,0.056074766355140186,193.0,0.9018691588785047,21.0,0.09813084112149532,334.0,1.0,260.0,0.7784431137724551,74.0,0.2215568862275449,0.0,0.0,9.0,0.02694610778443114,215.0,0.6437125748502994,63.0,0.18862275449101795,1.0,0.0029940119760479044,1.0,0.0029940119760479044,45.0,0.1347305389221557,0.0,0.0,0.0,0.0,5.0,1.0,5053.0,1.0,0.0,0.0,2289.0,0.45299821887987335,872.0,0.17257075004947556,1652.0,0.3269344943597863,240.0,0.04749653671086483
2020,Site_wide,13543.0,1.0,9485.0,0.7003618105294248,4058.0,0.2996381894705752,9485.0,0.7003618105294248,1.0,7.383888355608063e-05,542.0,0.040020674887395705,0.0,0.0,3515.0,0.25954367569962344,1027.0,1.0,441.0,0.4294060370009737,488.0,0.47517039922103216,98.0,0.09542356377799416,908.0,0.8841285296981499,119.0,0.11587147030185005,1438.0,1.0,1066.0,0.741307371349096,372.0,0.25869262865090403,2.0,0.0013908205841446453,18.0,0.012517385257301807,794.0,0.5521557719054242,341.0,0.23713490959666203,1.0,0.0006954102920723226,10.0,0.006954102920723227,272.0,0.18915159944367177,0.0,0.0,0.0,0.0,11.0,1.0,5053.0,1.0,0.0,0.0,2289.0,0.45299821887987335,872.0,0.17257075004947556,1652.0,0.3269344943597863,240.0,0.04749653671086483
2021,Connect with Support,962.0,1.0,584.0,0.6070686070686071,378.0,0.39293139293139295,584.0,0.6070686070686071,0.0,0.0,181.0,0.18814968814968816,0.0,0.0,197.0,0.2047817047817048,392.0,1.0,166.0,0.42346938775510207,191.0,0.4872448979591837,35.0,0.08928571428571429,346.0,0.8826530612244898,46.0,0.11734693877551021,1491.0,1.0,1039.0,0.6968477531857814,452.0,0.30315224681421865,160.0,0.10731052984574112,9.0,0.006036217303822937,871.0,0.5841716968477532,282.0,0.1891348088531187,0.0,0.0,1.0,0.0006706908115358819,168.0,0.11267605633802817,0.0,0.0,0.0,0.0,148.0,1.0,311.0,1.0,0.0,0.0,124.0,0.3987138263665595,87.0,0.2797427652733119,100.0,0.3215434083601286,0.0,0.0
2021,In the Studio,1079.0,1.0,582.0,0.5393883225208527,497.0,0.4606116774791474,582.0,0.5393883225208527,0.0,0.0,279.0,0.25857275254865614,0.0,0.0,218.0,0.2020389249304912,110.0,1.0,53.0,0.4818181818181818,49.0,0.44545454545454544,8.0,0.07272727272727272,93.0,0.8454545454545455,17.0,0.15454545454545454,153.0,1.0,99.0,0.6470588235294118,54.0,0.35294117647058826,12.0,0.0784313725490196,1.0,0.006535947712418301,84.0,0.5490196078431373,41.0,0.2679738562091503,0.0,0.0,0.0,0.0,15.0,0.09803921568627451,0.0,0.0,0.0,0.0,1255.0,1.0,1122.0,1.0,0.0,0.0,301.0,0.26827094474153296,577.0,0.5142602495543672,241.0,0.21479500891265596,3.0,0.00267379679144385
2021,On Your Time,1521.0,1.0,971.0,0.6383957922419461,550.0,0.3616042077580539,971.0,0.6383957922419461,0.0,0.0,290.0,0.19066403681788296,0.0,0.0,260.0,0.17094017094017094,106.0,1.0,51.0,0.4811320754716981,46.0,0.4339622641509434,9.0,0.08490566037735849,90.0,0.8490566037735849,16.0,0.1509433962264151,203.0,1.0,130.0,0.6403940886699507,73.0,0.35960591133004927,15.0,0.07389162561576355,1.0,0.0049261083743842365,113.0,0.5566502463054187,57.0,0.28078817733990147,0.0,0.0,0.0,0.0,17.0,0.08374384236453201,0.0,0.0,0.0,0.0,394.0,1.0,4595.0,1.0,0.0,0.0,1215.0,0.264417845484222,1988.0,0.4326441784548422,1372.0,0.2985854189336235,20.0,0.004352557127312296
