Entity,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,Aggregate,Aggregate,Account Type,Account Type,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Aggregate,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Crisis Flag,Crisis Flag,Aggregate,Aggregate,Clinical Level,Clinical Level,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,Total,Total_Year_Pct,Anonymous,Anonymous_Year_Pct,Verified,Verified_Year_Pct,Anonymous,Anonymous_Year_Pct,Email_password,Email_password_Year_Pct,Penn_key_sso,Penn_key_sso_Year_Pct,Penn_mpm_sso,Penn_mpm_sso_Year_Pct,Penn_sso,Penn_sso_Year_Pct,Total,Total_Year_Pct,Mild,Mild_Year_Pct,Moderate,Moderate_Year_Pct,Severe,Severe_Year_Pct,No,No_Year_Pct,Yes,Yes_Year_Pct,Total,Total_Year_Pct,Clinical,Clinical_Year_Pct,Sub-clinical,Sub-clinical_Year_Pct,Care_manager,Care_manager_Year_Pct,Chaplain,Chaplain_Year_Pct,Clinician,Clinician_Year_Pct,Coach,Coach_Year_Pct,Other,Other_Year_Pct,Peer,Peer_Year_Pct,Psychiatrist,Psychiatrist_Year_Pct,Psychologist,Psychologist_Year_Pct,Undefined,Undefined_Year_Pct,Total,Total_Year_Pct,Total,Total_Year_Pct,App,App_Year_Pct,Article,Article_Year_Pct,Podcast,Podcast_Year_Pct,Video,Video_Year_Pct,Worksheet,Worksheet_Year_Pct
Year,Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Connect with Support,960.0,0.054844606946983544,373.0,0.033008849557522126,587.0,0.09461637653127015,373.0,0.033008849557522126,0.0,0.0,72.0,0.09716599190283401,0.0,,515.0,0.09428780666422557,520.0,0.2810810810810811,165.0,0.21912350597609562,302.0,0.3240343347639485,53.0,0.3212121212121212,462.0,0.28068043742405835,58.0,0.28431372549019607,1438.0,0.43235117257967526,1066.0,0.4307070707070707,372.0,0.4371327849588719,2.0,0.5,18.0,0.3673469387755102,794.0,0.423692636072572,341.0,0.4405684754521964,1.0,0.3333333333333333,10.0,0.47619047619047616,272.0,0.4525790349417637,0.0,,0.0,,7.0,0.20588235294117646,581.0,0.051466028877668525,0.0,,291.0,0.05634075508228461,96.0,0.050314465408805034,159.0,0.043359694573220614,35.0,0.06375227686703097
2020,In the Studio,566.0,0.03233546617915905,46.0,0.004070796460176991,520.0,0.08381689232753063,46.0,0.004070796460176991,0.0,0.0,45.0,0.06072874493927125,0.0,,475.0,0.08696448187477114,89.0,0.04810810810810811,47.0,0.06241699867197875,40.0,0.04291845493562232,2.0,0.012121212121212121,83.0,0.050425273390036454,6.0,0.029411764705882353,116.0,0.03487672880336741,83.0,0.033535353535353536,33.0,0.038777908343125736,0.0,0.0,4.0,0.08163265306122448,71.0,0.037886872998932765,29.0,0.037467700258397935,0.0,0.0,0.0,0.0,12.0,0.019966722129783693,0.0,,0.0,,11.0,0.3235294117647059,602.0,0.053326246788909556,0.0,,296.0,0.057308809293320426,68.0,0.03563941299790356,204.0,0.05563130624488683,34.0,0.061930783242258654
2020,On Your Time,2435.0,0.13911106032906764,1396.0,0.12353982300884955,1039.0,0.16747259832366215,1396.0,0.12353982300884955,0.0,0.0,82.0,0.1106612685560054,0.0,,957.0,0.1752105455876968,214.0,0.11567567567567567,100.0,0.13280212483399734,102.0,0.10944206008583691,12.0,0.07272727272727272,193.0,0.1172539489671932,21.0,0.10294117647058823,334.0,0.10042092603728202,260.0,0.10505050505050505,74.0,0.08695652173913043,0.0,0.0,9.0,0.1836734693877551,215.0,0.11472785485592316,63.0,0.08139534883720931,1.0,0.3333333333333333,1.0,0.047619047619047616,45.0,0.07487520798668885,0.0,,0.0,,5.0,0.14705882352941177,5053.0,0.44760386216671094,0.0,,2289.0,0.4431752178121975,872.0,0.4570230607966457,1652.0,0.4505044995909463,240.0,0.4371584699453552
2020,Site_wide,13543.0,0.7737088665447898,9485.0,0.8393805309734513,4058.0,0.654094132817537,9485.0,0.8393805309734513,1.0,1.0,542.0,0.7314439946018894,0.0,,3515.0,0.6435371658733064,1027.0,0.5551351351351351,441.0,0.5856573705179283,488.0,0.5236051502145923,98.0,0.593939393939394,908.0,0.551640340218712,119.0,0.5833333333333334,1438.0,0.43235117257967526,1066.0,0.4307070707070707,372.0,0.4371327849588719,2.0,0.5,18.0,0.3673469387755102,794.0,0.423692636072572,341.0,0.4405684754521964,1.0,0.3333333333333333,10.0,0.47619047619047616,272.0,0.4525790349417637,0.0,,0.0,,11.0,0.3235294117647059,5053.0,0.44760386216671094,0.0,,2289.0,0.4431752178121975,872.0,0.4570230607966457,1652.0,0.4505044995909463,240.0,0.4371584699453552
2021,Connect with Support,962.0,0.05955550052621804,584.0,0.047337278106508875,378.0,0.09905660377358491,584.0,0.047337278106508875,0.0,,181.0,0.09344346928239546,0.0,0.0,197.0,0.10999441652707985,392.0,0.2747021723896286,166.0,0.25499231950844853,191.0,0.29475308641975306,35.0,0.2734375,346.0,0.27724358974358976,46.0,0.2569832402234637,1491.0,0.44667465548232477,1039.0,0.4503684438664933,452.0,0.4384093113482056,160.0,0.4610951008645533,9.0,0.45,871.0,0.4492006188757091,282.0,0.4259818731117825,0.0,,1.0,0.5,168.0,0.45652173913043476,0.0,,0.0,,148.0,0.04849279161205767,311.0,0.029276099030405723,0.0,,124.0,0.043432574430823115,87.0,0.01875,100.0,0.03241491085899514,0.0,0.0
2021,In the Studio,1079.0,0.06679873707670402,582.0,0.0471751641403907,497.0,0.13024109014675053,582.0,0.0471751641403907,0.0,,279.0,0.14403717088280846,0.0,0.0,218.0,0.12171970965940815,110.0,0.07708479327259986,53.0,0.08141321044546851,49.0,0.07561728395061729,8.0,0.0625,93.0,0.07451923076923077,17.0,0.09497206703910614,153.0,0.04583582983822648,99.0,0.04291287386215865,54.0,0.052376333656644035,12.0,0.0345821325648415,1.0,0.05,84.0,0.04332129963898917,41.0,0.061933534743202415,0.0,,0.0,0.0,15.0,0.04076086956521739,0.0,,0.0,,1255.0,0.41120576671035386,1122.0,0.10561988138943801,0.0,,301.0,0.10542907180385289,577.0,0.12435344827586207,241.0,0.07811993517017828,3.0,0.06976744186046512
2021,On Your Time,1521.0,0.0941620751563177,971.0,0.07870633055037692,550.0,0.1441299790356394,971.0,0.07870633055037692,0.0,,290.0,0.1497160557563242,0.0,0.0,260.0,0.14517029592406477,106.0,0.07428170988086896,51.0,0.07834101382488479,46.0,0.07098765432098765,9.0,0.0703125,90.0,0.07211538461538461,16.0,0.0893854748603352,203.0,0.060814859197124024,130.0,0.05635023840485479,73.0,0.07080504364694472,15.0,0.043227665706051875,1.0,0.05,113.0,0.05827746260959257,57.0,0.08610271903323263,0.0,,0.0,0.0,17.0,0.04619565217391304,0.0,,0.0,,394.0,0.1290956749672346,4595.0,0.43255200979007813,0.0,,1215.0,0.425569176882662,1988.0,0.42844827586206896,1372.0,0.4447325769854133,20.0,0.46511627906976744
