Entity,,,,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,,,,Aggregate,Aggregate,Account Type,Account Type,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Aggregate,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Crisis Flag,Crisis Flag,Aggregate,Aggregate,Clinical Level,Clinical Level,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,,,,Total,Total_Group_Pct,Anonymous,Anonymous_Group_Pct,Verified,Verified_Group_Pct,Anonymous,Anonymous_Group_Pct,Email_password,Email_password_Group_Pct,Penn_key_sso,Penn_key_sso_Group_Pct,Penn_mpm_sso,Penn_mpm_sso_Group_Pct,Penn_sso,Penn_sso_Group_Pct,Total,Total_Group_Pct,Mild,Mild_Group_Pct,Moderate,Moderate_Group_Pct,Severe,Severe_Group_Pct,No,No_Group_Pct,Yes,Yes_Group_Pct,Total,Total_Group_Pct,Clinical,Clinical_Group_Pct,Sub-clinical,Sub-clinical_Group_Pct,Care_manager,Care_manager_Group_Pct,Chaplain,Chaplain_Group_Pct,Clinician,Clinician_Group_Pct,Coach,Coach_Group_Pct,Other,Other_Group_Pct,Peer,Peer_Group_Pct,Psychiatrist,Psychiatrist_Group_Pct,Psychologist,Psychologist_Group_Pct,Undefined,Undefined_Group_Pct,Total,Total_Group_Pct,Total,Total_Group_Pct,App,App_Group_Pct,Article,Article_Group_Pct,Podcast,Podcast_Group_Pct,Video,Video_Group_Pct,Worksheet,Worksheet_Group_Pct
Year,Screening Session,Connect with Support,In the Studio,On Your Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,0,0,0,0,9684.0,1.0,7551.0,0.7797397769516728,2133.0,0.22026022304832713,7551.0,0.7797397769516728,1.0,0.00010326311441553078,337.0,0.03479966955803387,0.0,0.0,1795.0,0.18535729037587773,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2020,0,0,0,1,1929.0,1.0,1291.0,0.6692586832555728,638.0,0.33074131674442714,1291.0,0.6692586832555728,0.0,0.0,52.0,0.02695697252462416,0.0,0.0,586.0,0.303784344219803,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3805.0,1.0,0.0,0.0,1669.0,0.4386333771353482,640.0,0.16819973718791065,1324.0,0.34796320630749017,172.0,0.04520367936925099
2020,0,0,1,0,212.0,1.0,17.0,0.08018867924528301,195.0,0.9198113207547169,17.0,0.08018867924528301,0.0,0.0,20.0,0.09433962264150944,0.0,0.0,175.0,0.8254716981132075,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2020,0,0,1,1,188.0,1.0,19.0,0.10106382978723404,169.0,0.898936170212766,19.0,0.10106382978723404,0.0,0.0,5.0,0.026595744680851064,0.0,0.0,164.0,0.8723404255319149,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,349.0,1.0,0.0,0.0,174.0,0.498567335243553,43.0,0.12320916905444126,117.0,0.335243553008596,15.0,0.04297994269340974
2020,0,1,0,0,293.0,1.0,224.0,0.764505119453925,69.0,0.2354948805460751,224.0,0.764505119453925,0.0,0.0,7.0,0.023890784982935155,0.0,0.0,62.0,0.21160409556313994,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,353.0,1.0,192.0,0.5439093484419264,161.0,0.45609065155807366,0.0,0.0,5.0,0.014164305949008499,145.0,0.41076487252124644,152.0,0.43059490084985835,0.0,0.0,4.0,0.0113314447592068,47.0,0.13314447592067988,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2020,0,1,0,1,35.0,1.0,21.0,0.6,14.0,0.4,21.0,0.6,0.0,0.0,1.0,0.02857142857142857,0.0,0.0,13.0,0.37142857142857144,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,46.0,1.0,23.0,0.5,23.0,0.5,0.0,0.0,3.0,0.06521739130434782,11.0,0.2391304347826087,19.0,0.41304347826086957,1.0,0.021739130434782608,0.0,0.0,12.0,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,,72.0,1.0,0.0,0.0,26.0,0.3611111111111111,22.0,0.3055555555555556,20.0,0.2777777777777778,4.0,0.05555555555555555
2020,0,1,1,0,13.0,1.0,2.0,0.15384615384615385,11.0,0.8461538461538461,2.0,0.15384615384615385,0.0,0.0,3.0,0.23076923076923078,0.0,0.0,8.0,0.6153846153846154,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,6.0,1.0,2.0,0.3333333333333333,4.0,0.6666666666666666,0.0,0.0,1.0,0.16666666666666666,2.0,0.3333333333333333,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
