Entity,,,,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,,,,Aggregate,Aggregate,Account Type,Account Type,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Aggregate,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Crisis Flag,Crisis Flag,Aggregate,Aggregate,Clinical Level,Clinical Level,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,,,,Total,Total_Studio_Pct,Anonymous,Anonymous_Studio_Pct,Verified,Verified_Studio_Pct,Anonymous,Anonymous_Studio_Pct,Email_password,Email_password_Studio_Pct,Penn_key_sso,Penn_key_sso_Studio_Pct,Penn_mpm_sso,Penn_mpm_sso_Studio_Pct,Penn_sso,Penn_sso_Studio_Pct,Total,Total_Studio_Pct,Mild,Mild_Studio_Pct,Moderate,Moderate_Studio_Pct,Severe,Severe_Studio_Pct,No,No_Studio_Pct,Yes,Yes_Studio_Pct,Total,Total_Studio_Pct,Clinical,Clinical_Studio_Pct,Sub-clinical,Sub-clinical_Studio_Pct,Care_manager,Care_manager_Studio_Pct,Chaplain,Chaplain_Studio_Pct,Clinician,Clinician_Studio_Pct,Coach,Coach_Studio_Pct,Other,Other_Studio_Pct,Peer,Peer_Studio_Pct,Psychiatrist,Psychiatrist_Studio_Pct,Psychologist,Psychologist_Studio_Pct,Undefined,Undefined_Studio_Pct,Total,Total_Studio_Pct,Total,Total_Studio_Pct,App,App_Studio_Pct,Article,Article_Studio_Pct,Podcast,Podcast_Studio_Pct,Video,Video_Studio_Pct,Worksheet,Worksheet_Studio_Pct
Year,Screening Session,Connect with Support,In the Studio,On Your Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,0,0,0,0,9684.0,0.8338930508912425,7551.0,0.8539923094322551,2133.0,0.7697582100324792,7551.0,0.8539923094322551,1.0,1.0,337.0,0.8663239074550129,0.0,,1795.0,0.753884922301554,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0,0,0,1,1929.0,0.16610694910875742,1291.0,0.14600769056774485,638.0,0.23024178996752076,1291.0,0.14600769056774485,0.0,0.0,52.0,0.13367609254498714,0.0,,586.0,0.24611507769844604,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3805.0,1.0,0.0,,1669.0,1.0,640.0,1.0,1324.0,1.0,172.0,1.0
2020,0,0,1,0,212.0,0.53,17.0,0.4722222222222222,195.0,0.5357142857142857,17.0,0.4722222222222222,0.0,,20.0,0.8,0.0,,175.0,0.5162241887905604,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0,0,1,1,188.0,0.47,19.0,0.5277777777777778,169.0,0.4642857142857143,19.0,0.5277777777777778,0.0,,5.0,0.2,0.0,,164.0,0.4837758112094395,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,349.0,1.0,0.0,,174.0,1.0,43.0,1.0,117.0,1.0,15.0,1.0
2020,0,1,0,0,293.0,0.8932926829268293,224.0,0.9142857142857143,69.0,0.8313253012048193,224.0,0.9142857142857143,0.0,,7.0,0.875,0.0,,62.0,0.8266666666666667,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,353.0,0.8847117794486216,192.0,0.8930232558139535,161.0,0.875,0.0,,5.0,0.625,145.0,0.9294871794871795,152.0,0.8888888888888888,0.0,0.0,4.0,1.0,47.0,0.7966101694915254,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0,1,0,1,35.0,0.10670731707317073,21.0,0.08571428571428572,14.0,0.1686746987951807,21.0,0.08571428571428572,0.0,,1.0,0.125,0.0,,13.0,0.17333333333333334,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,46.0,0.11528822055137844,23.0,0.10697674418604651,23.0,0.125,0.0,,3.0,0.375,11.0,0.07051282051282051,19.0,0.1111111111111111,1.0,1.0,0.0,0.0,12.0,0.2033898305084746,0.0,,0.0,,0.0,,72.0,1.0,0.0,,26.0,1.0,22.0,1.0,20.0,1.0,4.0,1.0
2020,0,1,1,0,13.0,0.38235294117647056,2.0,0.3333333333333333,11.0,0.39285714285714285,2.0,0.3333333333333333,0.0,,3.0,0.375,0.0,,8.0,0.4,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,6.0,0.3,2.0,0.2222222222222222,4.0,0.36363636363636365,0.0,,1.0,0.3333333333333333,2.0,0.2222222222222222,3.0,0.375,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
