Entity,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,Aggregate,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Aggregate,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,Total,Anonymous,Verified,Anonymous,Email_password,Penn_key_sso,Penn_mpm_sso,Penn_sso,Total,Mild,Moderate,Severe,No,Yes,Total,Clinical,Sub-clinical,Care_manager,Chaplain,Clinician,Coach,Other,Peer,Psychiatrist,Psychologist,Undefined,Total,Total,App,Article,Podcast,Video,Worksheet
Year,Screening Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,0,12375.0,9129.0,3246.0,9129.0,1.0,430.0,0.0,2815.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,224.0,195.0,0.0,11.0,165.0,179.0,1.0,4.0,59.0,0.0,0.0,8.0,4359.0,0.0,1924.0,716.0,1523.0,196.0
2020,1,1168.0,356.0,812.0,356.0,0.0,112.0,0.0,700.0,1027.0,441.0,488.0,98.0,908.0,119.0,1019.0,842.0,177.0,2.0,7.0,629.0,162.0,0.0,6.0,213.0,0.0,0.0,3.0,694.0,0.0,365.0,156.0,129.0,44.0
2021,0,11823.0,9946.0,1877.0,9946.0,0.0,934.0,88.0,855.0,0.0,0.0,0.0,0.0,0.0,0.0,694.0,559.0,135.0,28.0,3.0,534.0,103.0,0.0,1.0,25.0,0.0,0.0,1131.0,4274.0,0.0,1106.0,1877.0,1275.0,16.0
2021,1,768.0,254.0,514.0,254.0,0.0,253.0,0.0,261.0,819.0,381.0,362.0,76.0,719.0,100.0,797.0,480.0,317.0,132.0,6.0,337.0,179.0,0.0,0.0,143.0,0.0,0.0,124.0,321.0,0.0,109.0,111.0,97.0,4.0
2022,0,14540.0,10388.0,4152.0,10388.0,0.0,2741.0,0.0,1411.0,0.0,0.0,0.0,0.0,0.0,0.0,814.0,449.0,365.0,167.0,3.0,449.0,180.0,0.0,0.0,0.0,0.0,15.0,5995.0,8427.0,2.0,1106.0,5154.0,2153.0,12.0
2022,1,555.0,169.0,386.0,169.0,0.0,294.0,0.0,92.0,649.0,299.0,304.0,46.0,567.0,82.0,385.0,120.0,265.0,176.0,1.0,117.0,84.0,1.0,0.0,3.0,0.0,3.0,400.0,289.0,0.0,76.0,107.0,101.0,5.0
2023,0,7683.0,3010.0,4673.0,3010.0,0.0,2015.0,0.0,2658.0,0.0,0.0,0.0,0.0,0.0,0.0,730.0,310.0,420.0,0.0,14.0,310.0,176.0,0.0,0.0,0.0,0.0,230.0,5614.0,3408.0,65.0,863.0,1478.0,984.0,18.0
2023,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,8.0,49.0,0.0,1.0,8.0,16.0,0.0,0.0,0.0,0.0,32.0,309.0,77.0,2.0,25.0,38.0,12.0,0.0
2024,0,1188.0,306.0,882.0,306.0,0.0,417.0,0.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,85.0,109.0,0.0,7.0,85.0,35.0,0.0,0.0,0.0,9.0,58.0,1530.0,416.0,2.0,91.0,111.0,208.0,4.0
2024,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,99.0,26.0,2.0,7.0,0.0,17.0,0.0
All Time,0,47609.0,32779.0,14830.0,32779.0,1.0,6537.0,88.0,8204.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.0,1627.0,1224.0,195.0,38.0,1543.0,673.0,1.0,5.0,84.0,9.0,303.0,14278.0,20884.0,69.0,5090.0,9336.0,6143.0,246.0
All Time,1,2491.0,779.0,1712.0,779.0,0.0,659.0,0.0,1053.0,2495.0,1121.0,1154.0,220.0,2194.0,301.0,2266.0,1453.0,813.0,310.0,16.0,1094.0,442.0,1.0,6.0,359.0,0.0,38.0,935.0,1407.0,4.0,582.0,412.0,356.0,53.0
