Entity,,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,,Aggregate,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Aggregate,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,,Total,Anonymous,Verified,Anonymous,Email_password,Penn_key_sso,Penn_mpm_sso,Penn_sso,Total,Mild,Moderate,Severe,No,Yes,Total,Clinical,Sub-clinical,Care_manager,Chaplain,Clinician,Coach,Other,Peer,Psychiatrist,Psychologist,Undefined,Total,Total,App,Article,Podcast,Video,Worksheet
Year,Screening Session,Connect with Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,0,0,12013.0,8878.0,3135.0,8878.0,1.0,414.0,0.0,2720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4154.0,0.0,1843.0,683.0,1441.0,187.0
2020,0,1,362.0,251.0,111.0,251.0,0.0,16.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,224.0,195.0,0.0,11.0,165.0,179.0,1.0,4.0,59.0,0.0,0.0,5.0,205.0,0.0,81.0,33.0,82.0,9.0
2020,1,0,570.0,234.0,336.0,234.0,0.0,56.0,0.0,280.0,507.0,276.0,186.0,45.0,446.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,318.0,0.0,155.0,93.0,52.0,18.0
2020,1,1,598.0,122.0,476.0,122.0,0.0,56.0,0.0,420.0,520.0,165.0,302.0,53.0,462.0,58.0,1019.0,842.0,177.0,2.0,7.0,629.0,162.0,0.0,6.0,213.0,0.0,0.0,2.0,376.0,0.0,210.0,63.0,77.0,26.0
2021,0,0,11218.0,9434.0,1784.0,9434.0,0.0,887.0,88.0,809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056.0,4149.0,0.0,1040.0,1846.0,1247.0,16.0
2021,0,1,605.0,512.0,93.0,512.0,0.0,47.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,694.0,559.0,135.0,28.0,3.0,534.0,103.0,0.0,1.0,25.0,0.0,0.0,75.0,125.0,0.0,66.0,31.0,28.0,0.0
2021,1,0,411.0,182.0,229.0,182.0,0.0,119.0,0.0,110.0,427.0,215.0,171.0,41.0,373.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,135.0,0.0,51.0,55.0,25.0,4.0
2021,1,1,357.0,72.0,285.0,72.0,0.0,134.0,0.0,151.0,392.0,166.0,191.0,35.0,346.0,46.0,797.0,480.0,317.0,132.0,6.0,337.0,179.0,0.0,0.0,143.0,0.0,0.0,73.0,186.0,0.0,58.0,56.0,72.0,0.0
2022,0,0,13879.0,9981.0,3898.0,9981.0,0.0,2557.0,0.0,1341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5818.0,8272.0,2.0,1038.0,5101.0,2119.0,12.0
2022,0,1,661.0,407.0,254.0,407.0,0.0,184.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,814.0,449.0,365.0,167.0,3.0,449.0,180.0,0.0,0.0,0.0,0.0,15.0,177.0,155.0,0.0,68.0,53.0,34.0,0.0
2022,1,0,354.0,131.0,223.0,131.0,0.0,175.0,0.0,48.0,405.0,195.0,172.0,38.0,346.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,153.0,0.0,41.0,58.0,54.0,0.0
2022,1,1,201.0,38.0,163.0,38.0,0.0,119.0,0.0,44.0,244.0,104.0,132.0,8.0,221.0,23.0,385.0,120.0,265.0,176.0,1.0,117.0,84.0,1.0,0.0,3.0,0.0,3.0,188.0,136.0,0.0,35.0,49.0,47.0,5.0
2023,0,0,7142.0,2802.0,4340.0,2802.0,0.0,1823.0,0.0,2517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5306.0,3267.0,37.0,808.0,1454.0,955.0,13.0
2023,0,1,541.0,208.0,333.0,208.0,0.0,192.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,730.0,310.0,420.0,0.0,14.0,310.0,176.0,0.0,0.0,0.0,0.0,230.0,308.0,141.0,28.0,55.0,24.0,29.0,5.0
2023,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,42.0,2.0,11.0,27.0,2.0,0.0
2023,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,8.0,49.0,0.0,1.0,8.0,16.0,0.0,0.0,0.0,0.0,32.0,153.0,35.0,0.0,14.0,11.0,10.0,0.0
2024,0,0,1085.0,301.0,784.0,301.0,0.0,344.0,0.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1475.0,379.0,2.0,79.0,105.0,189.0,4.0
2024,0,1,103.0,5.0,98.0,5.0,0.0,73.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,85.0,109.0,0.0,7.0,85.0,35.0,0.0,0.0,0.0,9.0,58.0,55.0,37.0,0.0,12.0,6.0,19.0,0.0
2024,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,20.0,0.0,3.0,0.0,17.0,0.0
2024,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,56.0,6.0,2.0,4.0,0.0,0.0,0.0
All Time,0,0,45337.0,31396.0,13941.0,31396.0,1.0,6025.0,88.0,7827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13658.0,20221.0,41.0,4808.0,9189.0,5951.0,232.0
All Time,0,1,2272.0,1383.0,889.0,1383.0,0.0,512.0,0.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.0,1627.0,1224.0,195.0,38.0,1543.0,673.0,1.0,5.0,84.0,9.0,303.0,620.0,663.0,28.0,282.0,147.0,192.0,14.0
All Time,1,0,1335.0,547.0,788.0,547.0,0.0,350.0,0.0,438.0,1339.0,686.0,529.0,124.0,1165.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.0,668.0,2.0,261.0,233.0,150.0,22.0
All Time,1,1,1156.0,232.0,924.0,232.0,0.0,309.0,0.0,615.0,1156.0,435.0,625.0,96.0,1029.0,127.0,2266.0,1453.0,813.0,310.0,16.0,1094.0,442.0,1.0,6.0,359.0,0.0,38.0,472.0,739.0,2.0,321.0,179.0,206.0,31.0
