Entity,,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,,Aggregate,Aggregate,Account Type,Account Type,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Aggregate,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Crisis Flag,Crisis Flag,Aggregate,Aggregate,Clinical Level,Clinical Level,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,,Total,Total_Group_Pct,Anonymous,Anonymous_Group_Pct,Verified,Verified_Group_Pct,Anonymous,Anonymous_Group_Pct,Email_password,Email_password_Group_Pct,Penn_key_sso,Penn_key_sso_Group_Pct,Penn_mpm_sso,Penn_mpm_sso_Group_Pct,Penn_sso,Penn_sso_Group_Pct,Total,Total_Group_Pct,Mild,Mild_Group_Pct,Moderate,Moderate_Group_Pct,Severe,Severe_Group_Pct,No,No_Group_Pct,Yes,Yes_Group_Pct,Total,Total_Group_Pct,Clinical,Clinical_Group_Pct,Sub-clinical,Sub-clinical_Group_Pct,Care_manager,Care_manager_Group_Pct,Chaplain,Chaplain_Group_Pct,Clinician,Clinician_Group_Pct,Coach,Coach_Group_Pct,Other,Other_Group_Pct,Peer,Peer_Group_Pct,Psychiatrist,Psychiatrist_Group_Pct,Psychologist,Psychologist_Group_Pct,Undefined,Undefined_Group_Pct,Total,Total_Group_Pct,Total,Total_Group_Pct,App,App_Group_Pct,Article,Article_Group_Pct,Podcast,Podcast_Group_Pct,Video,Video_Group_Pct,Worksheet,Worksheet_Group_Pct
Year,Screening Session,Connect with Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,0,0,12013.0,1.0,8878.0,0.7390327145592275,3135.0,0.2609672854407725,8878.0,0.7390327145592275,1.0,8.324315325064514e-05,414.0,0.034462665445767086,0.0,0.0,2720.0,0.22642137684175476,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3.0,1.0,4154.0,1.0,0.0,0.0,1843.0,0.4436687530091478,683.0,0.16441983630235918,1441.0,0.3468945594607607,187.0,0.04501685122773231
2020,0,1,362.0,1.0,251.0,0.6933701657458563,111.0,0.30662983425414364,251.0,0.6933701657458563,0.0,0.0,16.0,0.04419889502762431,0.0,0.0,95.0,0.26243093922651933,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,419.0,1.0,224.0,0.5346062052505967,195.0,0.46539379474940334,0.0,0.0,11.0,0.026252983293556086,165.0,0.3937947494033413,179.0,0.42720763723150357,1.0,0.002386634844868735,4.0,0.00954653937947494,59.0,0.14081145584725538,0.0,0.0,0.0,0.0,5.0,1.0,205.0,1.0,0.0,0.0,81.0,0.3951219512195122,33.0,0.16097560975609757,82.0,0.4,9.0,0.04390243902439024
2020,1,0,570.0,1.0,234.0,0.4105263157894737,336.0,0.5894736842105263,234.0,0.4105263157894737,0.0,0.0,56.0,0.09824561403508772,0.0,0.0,280.0,0.49122807017543857,507.0,1.0,276.0,0.5443786982248521,186.0,0.3668639053254438,45.0,0.08875739644970414,446.0,0.8796844181459567,61.0,0.1203155818540434,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,1.0,318.0,1.0,0.0,0.0,155.0,0.48742138364779874,93.0,0.29245283018867924,52.0,0.16352201257861634,18.0,0.05660377358490566
2020,1,1,598.0,1.0,122.0,0.2040133779264214,476.0,0.7959866220735786,122.0,0.2040133779264214,0.0,0.0,56.0,0.09364548494983277,0.0,0.0,420.0,0.7023411371237458,520.0,1.0,165.0,0.3173076923076923,302.0,0.5807692307692308,53.0,0.10192307692307692,462.0,0.8884615384615384,58.0,0.11153846153846154,1019.0,1.0,842.0,0.8263002944062807,177.0,0.17369970559371933,2.0,0.001962708537782139,7.0,0.0068694798822374874,629.0,0.6172718351324828,162.0,0.1589793915603533,0.0,0.0,6.0,0.005888125613346418,213.0,0.20902845927379785,0.0,0.0,0.0,0.0,2.0,1.0,376.0,1.0,0.0,0.0,210.0,0.5585106382978723,63.0,0.1675531914893617,77.0,0.2047872340425532,26.0,0.06914893617021277
2021,0,0,11218.0,1.0,9434.0,0.8409698698520235,1784.0,0.15903013014797646,9434.0,0.8409698698520235,0.0,0.0,887.0,0.07906935282581565,88.0,0.007844535567837404,809.0,0.0721162417543234,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1056.0,1.0,4149.0,1.0,0.0,0.0,1040.0,0.2506628103157387,1846.0,0.44492648831043624,1247.0,0.3005543504458906,16.0,0.003856350927934442
2021,0,1,605.0,1.0,512.0,0.8462809917355372,93.0,0.1537190082644628,512.0,0.8462809917355372,0.0,0.0,47.0,0.07768595041322314,0.0,0.0,46.0,0.07603305785123966,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,694.0,1.0,559.0,0.8054755043227666,135.0,0.19452449567723343,28.0,0.040345821325648415,3.0,0.004322766570605188,534.0,0.7694524495677233,103.0,0.1484149855907781,0.0,0.0,1.0,0.001440922190201729,25.0,0.03602305475504323,0.0,0.0,0.0,0.0,75.0,1.0,125.0,1.0,0.0,0.0,66.0,0.528,31.0,0.248,28.0,0.224,0.0,0.0
2021,1,0,411.0,1.0,182.0,0.44282238442822386,229.0,0.5571776155717761,182.0,0.44282238442822386,0.0,0.0,119.0,0.2895377128953771,0.0,0.0,110.0,0.26763990267639903,427.0,1.0,215.0,0.5035128805620609,171.0,0.40046838407494145,41.0,0.09601873536299765,373.0,0.8735362997658079,54.0,0.12646370023419204,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,51.0,1.0,135.0,1.0,0.0,0.0,51.0,0.37777777777777777,55.0,0.4074074074074074,25.0,0.18518518518518517,4.0,0.02962962962962963
