Entity,,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,,Aggregate,Aggregate,Account Type,Account Type,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Aggregate,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Crisis Flag,Crisis Flag,Aggregate,Aggregate,Clinical Level,Clinical Level,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,,Total,Total_Screening_Pct,Anonymous,Anonymous_Screening_Pct,Verified,Verified_Screening_Pct,Anonymous,Anonymous_Screening_Pct,Email_password,Email_password_Screening_Pct,Penn_key_sso,Penn_key_sso_Screening_Pct,Penn_mpm_sso,Penn_mpm_sso_Screening_Pct,Penn_sso,Penn_sso_Screening_Pct,Total,Total_Screening_Pct,Mild,Mild_Screening_Pct,Moderate,Moderate_Screening_Pct,Severe,Severe_Screening_Pct,No,No_Screening_Pct,Yes,Yes_Screening_Pct,Total,Total_Screening_Pct,Clinical,Clinical_Screening_Pct,Sub-clinical,Sub-clinical_Screening_Pct,Care_manager,Care_manager_Screening_Pct,Chaplain,Chaplain_Screening_Pct,Clinician,Clinician_Screening_Pct,Coach,Coach_Screening_Pct,Other,Other_Screening_Pct,Peer,Peer_Screening_Pct,Psychiatrist,Psychiatrist_Screening_Pct,Psychologist,Psychologist_Screening_Pct,Undefined,Undefined_Screening_Pct,Total,Total_Screening_Pct,Total,Total_Screening_Pct,App,App_Screening_Pct,Article,Article_Screening_Pct,Podcast,Podcast_Screening_Pct,Video,Video_Screening_Pct,Worksheet,Worksheet_Screening_Pct
Year,Screening Session,Connect with Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,0,0,12013.0,0.9707474747474747,8878.0,0.9725052031985979,3135.0,0.9658040665434381,8878.0,0.9725052031985979,1.0,1.0,414.0,0.9627906976744186,0.0,,2720.0,0.9662522202486679,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,3.0,0.375,4154.0,0.9529708648772655,0.0,,1843.0,0.9579002079002079,683.0,0.9539106145251397,1441.0,0.9461588969139856,187.0,0.9540816326530612
2020,0,1,362.0,0.029252525252525252,251.0,0.027494796801402124,111.0,0.034195933456561925,251.0,0.027494796801402124,0.0,0.0,16.0,0.037209302325581395,0.0,,95.0,0.03374777975133215,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,419.0,1.0,224.0,1.0,195.0,1.0,0.0,,11.0,1.0,165.0,1.0,179.0,1.0,1.0,1.0,4.0,1.0,59.0,1.0,0.0,,0.0,,5.0,0.625,205.0,0.04702913512273457,0.0,,81.0,0.0420997920997921,33.0,0.046089385474860335,82.0,0.05384110308601445,9.0,0.04591836734693878
2020,1,0,570.0,0.488013698630137,234.0,0.6573033707865169,336.0,0.41379310344827586,234.0,0.6573033707865169,0.0,,56.0,0.5,0.0,,280.0,0.4,507.0,0.4936708860759494,276.0,0.6258503401360545,186.0,0.38114754098360654,45.0,0.45918367346938777,446.0,0.4911894273127753,61.0,0.5126050420168067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,0.3333333333333333,318.0,0.45821325648414984,0.0,,155.0,0.4246575342465753,93.0,0.5961538461538461,52.0,0.40310077519379844,18.0,0.4090909090909091
2020,1,1,598.0,0.511986301369863,122.0,0.34269662921348315,476.0,0.5862068965517241,122.0,0.34269662921348315,0.0,,56.0,0.5,0.0,,420.0,0.6,520.0,0.5063291139240507,165.0,0.3741496598639456,302.0,0.6188524590163934,53.0,0.5408163265306123,462.0,0.5088105726872246,58.0,0.48739495798319327,1019.0,1.0,842.0,1.0,177.0,1.0,2.0,1.0,7.0,1.0,629.0,1.0,162.0,1.0,0.0,,6.0,1.0,213.0,1.0,0.0,,0.0,,2.0,0.6666666666666666,376.0,0.5417867435158501,0.0,,210.0,0.5753424657534246,63.0,0.40384615384615385,77.0,0.5968992248062015,26.0,0.5909090909090909
2021,0,0,11218.0,0.9488285545123911,9434.0,0.9485220189020712,1784.0,0.9504528502930207,9434.0,0.9485220189020712,0.0,,887.0,0.949678800856531,88.0,1.0,809.0,0.9461988304093567,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,1056.0,0.9336870026525199,4149.0,0.9707533926064577,0.0,,1040.0,0.9403254972875226,1846.0,0.9834842834310069,1247.0,0.9780392156862745,16.0,1.0
2021,0,1,605.0,0.0511714454876089,512.0,0.05147798109792882,93.0,0.049547149706979224,512.0,0.05147798109792882,0.0,,47.0,0.05032119914346895,0.0,0.0,46.0,0.05380116959064327,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,694.0,1.0,559.0,1.0,135.0,1.0,28.0,1.0,3.0,1.0,534.0,1.0,103.0,1.0,0.0,,1.0,1.0,25.0,1.0,0.0,,0.0,,75.0,0.06631299734748011,125.0,0.02924660739354235,0.0,,66.0,0.059674502712477394,31.0,0.016515716568993075,28.0,0.02196078431372549,0.0,0.0
2021,1,0,411.0,0.53515625,182.0,0.7165354330708661,229.0,0.4455252918287938,182.0,0.7165354330708661,0.0,,119.0,0.47035573122529645,0.0,,110.0,0.421455938697318,427.0,0.5213675213675214,215.0,0.5643044619422573,171.0,0.4723756906077348,41.0,0.5394736842105263,373.0,0.5187760778859527,54.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,51.0,0.4112903225806452,135.0,0.4205607476635514,0.0,,51.0,0.46788990825688076,55.0,0.4954954954954955,25.0,0.25773195876288657,4.0,1.0
