Entity,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,Aggregate,Aggregate,Account Type,Account Type,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Aggregate,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Crisis Flag,Crisis Flag,Aggregate,Aggregate,Clinical Level,Clinical Level,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,Total,Total_Group_Pct,Anonymous,Anonymous_Group_Pct,Verified,Verified_Group_Pct,Anonymous,Anonymous_Group_Pct,Email_password,Email_password_Group_Pct,Penn_key_sso,Penn_key_sso_Group_Pct,Penn_mpm_sso,Penn_mpm_sso_Group_Pct,Penn_sso,Penn_sso_Group_Pct,Total,Total_Group_Pct,Mild,Mild_Group_Pct,Moderate,Moderate_Group_Pct,Severe,Severe_Group_Pct,No,No_Group_Pct,Yes,Yes_Group_Pct,Total,Total_Group_Pct,Clinical,Clinical_Group_Pct,Sub-clinical,Sub-clinical_Group_Pct,Care_manager,Care_manager_Group_Pct,Chaplain,Chaplain_Group_Pct,Clinician,Clinician_Group_Pct,Coach,Coach_Group_Pct,Other,Other_Group_Pct,Peer,Peer_Group_Pct,Psychiatrist,Psychiatrist_Group_Pct,Psychologist,Psychologist_Group_Pct,Undefined,Undefined_Group_Pct,Total,Total_Group_Pct,Total,Total_Group_Pct,App,App_Group_Pct,Article,Article_Group_Pct,Podcast,Podcast_Group_Pct,Video,Video_Group_Pct,Worksheet,Worksheet_Group_Pct
Year,Screening Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,0,12375.0,1.0,9129.0,0.7376969696969697,3246.0,0.2623030303030303,9129.0,0.7376969696969697,1.0,8.080808080808081e-05,430.0,0.03474747474747475,0.0,0.0,2815.0,0.22747474747474747,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,419.0,1.0,224.0,0.5346062052505967,195.0,0.46539379474940334,0.0,0.0,11.0,0.026252983293556086,165.0,0.3937947494033413,179.0,0.42720763723150357,1.0,0.002386634844868735,4.0,0.00954653937947494,59.0,0.14081145584725538,0.0,0.0,0.0,0.0,8.0,1.0,4359.0,1.0,0.0,0.0,1924.0,0.4413856389080064,716.0,0.16425785730672174,1523.0,0.34939206239963294,196.0,0.04496444138563891
2020,1,1168.0,1.0,356.0,0.3047945205479452,812.0,0.6952054794520548,356.0,0.3047945205479452,0.0,0.0,112.0,0.0958904109589041,0.0,0.0,700.0,0.5993150684931506,1027.0,1.0,441.0,0.4294060370009737,488.0,0.47517039922103216,98.0,0.09542356377799416,908.0,0.8841285296981499,119.0,0.11587147030185005,1019.0,1.0,842.0,0.8263002944062807,177.0,0.17369970559371933,2.0,0.001962708537782139,7.0,0.0068694798822374874,629.0,0.6172718351324828,162.0,0.1589793915603533,0.0,0.0,6.0,0.005888125613346418,213.0,0.20902845927379785,0.0,0.0,0.0,0.0,3.0,1.0,694.0,1.0,0.0,0.0,365.0,0.5259365994236311,156.0,0.22478386167146974,129.0,0.18587896253602307,44.0,0.06340057636887608
2021,0,11823.0,1.0,9946.0,0.8412416476359638,1877.0,0.1587583523640362,9946.0,0.8412416476359638,0.0,0.0,934.0,0.07899856212467225,88.0,0.007443119343652204,855.0,0.07231667089571175,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,694.0,1.0,559.0,0.8054755043227666,135.0,0.19452449567723343,28.0,0.040345821325648415,3.0,0.004322766570605188,534.0,0.7694524495677233,103.0,0.1484149855907781,0.0,0.0,1.0,0.001440922190201729,25.0,0.03602305475504323,0.0,0.0,0.0,0.0,1131.0,1.0,4274.0,1.0,0.0,0.0,1106.0,0.2587739822180627,1877.0,0.4391670566214319,1275.0,0.29831539541413193,16.0,0.003743565746373421
2021,1,768.0,1.0,254.0,0.3307291666666667,514.0,0.6692708333333334,254.0,0.3307291666666667,0.0,0.0,253.0,0.3294270833333333,0.0,0.0,261.0,0.33984375,819.0,1.0,381.0,0.4652014652014652,362.0,0.442002442002442,76.0,0.0927960927960928,719.0,0.8778998778998779,100.0,0.1221001221001221,797.0,1.0,480.0,0.6022584692597239,317.0,0.397741530740276,132.0,0.1656210790464241,6.0,0.0075282308657465494,337.0,0.4228356336260979,179.0,0.2245922208281054,0.0,0.0,0.0,0.0,143.0,0.1794228356336261,0.0,0.0,0.0,0.0,124.0,1.0,321.0,1.0,0.0,0.0,109.0,0.3395638629283489,111.0,0.34579439252336447,97.0,0.30218068535825543,4.0,0.012461059190031152
2022,0,14540.0,1.0,10388.0,0.714442916093535,4152.0,0.28555708390646495,10388.0,0.714442916093535,0.0,0.0,2741.0,0.18851444291609354,0.0,0.0,1411.0,0.0970426409903714,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,814.0,1.0,449.0,0.5515970515970516,365.0,0.4484029484029484,167.0,0.20515970515970516,3.0,0.0036855036855036856,449.0,0.5515970515970516,180.0,0.22113022113022113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.018427518427518427,5995.0,1.0,8427.0,1.0,2.0,0.00023733238400379733,1106.0,0.1312448083540999,5154.0,0.6116055535777857,2153.0,0.2554883113800878,12.0,0.001423994304022784
2022,1,555.0,1.0,169.0,0.3045045045045045,386.0,0.6954954954954955,169.0,0.3045045045045045,0.0,0.0,294.0,0.5297297297297298,0.0,0.0,92.0,0.16576576576576577,649.0,1.0,299.0,0.46070878274268107,304.0,0.46841294298921415,46.0,0.07087827426810478,567.0,0.8736517719568567,82.0,0.1263482280431433,385.0,1.0,120.0,0.3116883116883117,265.0,0.6883116883116883,176.0,0.45714285714285713,1.0,0.0025974025974025974,117.0,0.3038961038961039,84.0,0.21818181818181817,1.0,0.0025974025974025974,0.0,0.0,3.0,0.007792207792207792,0.0,0.0,3.0,0.007792207792207792,400.0,1.0,289.0,1.0,0.0,0.0,76.0,0.2629757785467128,107.0,0.370242214532872,101.0,0.3494809688581315,5.0,0.01730103806228374
2023,0,7683.0,1.0,3010.0,0.3917740465963816,4673.0,0.6082259534036184,3010.0,0.3917740465963816,0.0,0.0,2015.0,0.2622673434856176,0.0,0.0,2658.0,0.34595860991800076,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,730.0,1.0,310.0,0.4246575342465753,420.0,0.5753424657534246,0.0,0.0,14.0,0.019178082191780823,310.0,0.4246575342465753,176.0,0.2410958904109589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.3150684931506849,5614.0,1.0,3408.0,1.0,65.0,0.019072769953051644,863.0,0.25322769953051644,1478.0,0.4336854460093897,984.0,0.2887323943661972,18.0,0.00528169014084507
