Entity,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,Aggregate,Aggregate,Account Type,Account Type,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Aggregate,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Crisis Flag,Crisis Flag,Aggregate,Aggregate,Clinical Level,Clinical Level,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,Total,Total_Year_Pct,Anonymous,Anonymous_Year_Pct,Verified,Verified_Year_Pct,Anonymous,Anonymous_Year_Pct,Email_password,Email_password_Year_Pct,Penn_key_sso,Penn_key_sso_Year_Pct,Penn_mpm_sso,Penn_mpm_sso_Year_Pct,Penn_sso,Penn_sso_Year_Pct,Total,Total_Year_Pct,Mild,Mild_Year_Pct,Moderate,Moderate_Year_Pct,Severe,Severe_Year_Pct,No,No_Year_Pct,Yes,Yes_Year_Pct,Total,Total_Year_Pct,Clinical,Clinical_Year_Pct,Sub-clinical,Sub-clinical_Year_Pct,Care_manager,Care_manager_Year_Pct,Chaplain,Chaplain_Year_Pct,Clinician,Clinician_Year_Pct,Coach,Coach_Year_Pct,Other,Other_Year_Pct,Peer,Peer_Year_Pct,Psychiatrist,Psychiatrist_Year_Pct,Psychologist,Psychologist_Year_Pct,Undefined,Undefined_Year_Pct,Total,Total_Year_Pct,Total,Total_Year_Pct,App,App_Year_Pct,Article,Article_Year_Pct,Podcast,Podcast_Year_Pct,Video,Video_Year_Pct,Worksheet,Worksheet_Year_Pct
Year,Screening Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,0,12375.0,0.9137561840064978,9129.0,0.962467053241961,3246.0,0.7999014292755052,9129.0,0.962467053241961,1.0,1.0,430.0,0.7933579335793358,0.0,,2815.0,0.8008534850640113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,0.2913769123783032,224.0,0.2101313320825516,195.0,0.5241935483870968,0.0,0.0,11.0,0.6111111111111112,165.0,0.20780856423173805,179.0,0.5249266862170088,1.0,1.0,4.0,0.4,59.0,0.21691176470588236,0.0,,0.0,,8.0,0.7272727272727273,4359.0,0.8626558480110825,0.0,,1924.0,0.8405417212756662,716.0,0.8211009174311926,1523.0,0.9219128329297821,196.0,0.8166666666666667
2020,1,1168.0,0.08624381599350218,356.0,0.03753294675803901,812.0,0.20009857072449483,356.0,0.03753294675803901,0.0,0.0,112.0,0.2066420664206642,0.0,,700.0,0.19914651493598862,1027.0,1.0,441.0,1.0,488.0,1.0,98.0,1.0,908.0,1.0,119.0,1.0,1019.0,0.7086230876216968,842.0,0.7898686679174484,177.0,0.47580645161290325,2.0,1.0,7.0,0.3888888888888889,629.0,0.792191435768262,162.0,0.4750733137829912,0.0,0.0,6.0,0.6,213.0,0.7830882352941176,0.0,,0.0,,3.0,0.2727272727272727,694.0,0.13734415198891747,0.0,,365.0,0.15945827872433377,156.0,0.17889908256880735,129.0,0.07808716707021791,44.0,0.18333333333333332
2021,0,11823.0,0.9390040505122706,9946.0,0.9750980392156863,1877.0,0.7850271852781263,9946.0,0.9750980392156863,0.0,,934.0,0.7868576242628476,88.0,1.0,855.0,0.7661290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.0,0.46545942320590206,559.0,0.5380173243503369,135.0,0.29867256637168144,28.0,0.175,3.0,0.3333333333333333,534.0,0.6130884041331802,103.0,0.36524822695035464,0.0,,1.0,1.0,25.0,0.1488095238095238,0.0,,0.0,,1131.0,0.901195219123506,4274.0,0.9301414581066376,0.0,,1106.0,0.9102880658436214,1877.0,0.9441649899396378,1275.0,0.9293002915451894,16.0,0.8
2021,1,768.0,0.06099594948772933,254.0,0.024901960784313726,514.0,0.21497281472187368,254.0,0.024901960784313726,0.0,,253.0,0.21314237573715247,0.0,0.0,261.0,0.23387096774193547,819.0,1.0,381.0,1.0,362.0,1.0,76.0,1.0,719.0,1.0,100.0,1.0,797.0,0.5345405767940979,480.0,0.4619826756496631,317.0,0.7013274336283186,132.0,0.825,6.0,0.6666666666666666,337.0,0.3869115958668197,179.0,0.6347517730496454,0.0,,0.0,0.0,143.0,0.8511904761904762,0.0,,0.0,,124.0,0.09880478087649402,321.0,0.06985854189336235,0.0,,109.0,0.0897119341563786,111.0,0.05583501006036217,97.0,0.0706997084548105,4.0,0.2
2022,0,14540.0,0.9632328585624379,10388.0,0.9839916642985697,4152.0,0.9149405024239753,10388.0,0.9839916642985697,0.0,,2741.0,0.9031301482701812,0.0,,1411.0,0.9387890884896873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814.0,0.6788990825688074,449.0,0.789103690685413,365.0,0.5793650793650794,167.0,0.4868804664723032,3.0,0.75,449.0,0.7932862190812721,180.0,0.6818181818181818,0.0,0.0,0.0,,0.0,0.0,0.0,,15.0,0.8333333333333334,5995.0,0.9374511336982018,8427.0,0.9668425883432767,2.0,1.0,1106.0,0.9357021996615905,5154.0,0.9796616612811253,2153.0,0.9551907719609583,12.0,0.7058823529411765
2022,1,555.0,0.03676714143756211,169.0,0.01600833570143033,386.0,0.08505949757602468,169.0,0.01600833570143033,0.0,,294.0,0.09686985172981878,0.0,,92.0,0.06121091151031271,649.0,1.0,299.0,1.0,304.0,1.0,46.0,1.0,567.0,1.0,82.0,1.0,385.0,0.3211009174311927,120.0,0.210896309314587,265.0,0.42063492063492064,176.0,0.5131195335276968,1.0,0.25,117.0,0.2067137809187279,84.0,0.3181818181818182,1.0,1.0,0.0,,3.0,1.0,0.0,,3.0,0.16666666666666666,400.0,0.06254886630179828,289.0,0.03315741165672327,0.0,0.0,76.0,0.06429780033840947,107.0,0.02033833871887474,101.0,0.04480922803904171,5.0,0.29411764705882354
2023,0,7683.0,1.0,3010.0,1.0,4673.0,1.0,3010.0,1.0,0.0,,2015.0,1.0,0.0,,2658.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,730.0,0.9275730622617535,310.0,0.9748427672955975,420.0,0.8955223880597015,0.0,,14.0,0.9333333333333333,310.0,0.9748427672955975,176.0,0.9166666666666666,0.0,,0.0,,0.0,,0.0,,230.0,0.8778625954198473,5614.0,0.9478304913050819,3408.0,0.9779053084648494,65.0,0.9701492537313433,863.0,0.9718468468468469,1478.0,0.974934036939314,984.0,0.9879518072289156,18.0,1.0
