,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9
0,0.1473781,0.083063126,0.047644164,0.072988406,0.3453176,0.045392044,0.081837505,0.05202378,0.042715143,0.08164017
2,0.21541089,0.027996765,0.01605866,0.024601039,0.36499545,0.015299574,0.027583664,0.18327132,0.09726556,0.027517151
3,0.03978392,0.02242244,0.0128612835,0.21880886,0.02684793,0.012253336,0.22119762,0.34588692,0.011530721,0.088406995
4,0.04967439,0.027996765,0.01605866,0.024601039,0.033522453,0.015299574,0.7733979,0.017534826,0.014397313,0.027517151
5,0.15887383,0.03355866,0.019248907,0.12881935,0.04018209,0.3163321,0.03306349,0.02101833,0.21591954,0.032983765
6,0.053195186,0.011236332,0.13947973,0.009873478,0.11323004,0.0061403913,0.07758787,0.0070374967,0.50465834,0.077561185
8,0.4568669,0.23222071,0.019248907,0.02948833,0.13951312,0.018339017,0.03306349,0.02101833,0.017257512,0.032983765
9,0.08481797,0.047803883,0.02741982,0.04200575,0.057238877,0.026123697,0.61308163,0.029940344,0.024583107,0.046984952
10,0.44617364,0.041878287,0.024020959,0.16075534,0.050143752,0.022885498,0.041260358,0.026229046,0.021535873,0.16511732
11,0.027164033,0.015309801,0.008781547,0.013452876,0.19959477,0.32557717,0.015083901,0.14553624,0.14382051,0.10567918
12,0.04587298,0.025854267,0.2444096,0.022718405,0.33706358,0.014128748,0.02547278,0.24577281,0.013295535,0.025411356
13,0.263614,0.2204994,0.031939063,0.048929,0.066672795,0.19524594,0.054861143,0.03487501,0.02863481,0.054728854
14,0.054162763,0.030526439,0.017509654,0.026823888,0.21726316,0.10703786,0.120431885,0.019119201,0.015698195,0.39142698
15,0.054162763,0.030526439,0.017509654,0.47860327,0.036551405,0.01668198,0.30114365,0.019119201,0.015698195,0.030003488
16,0.042612024,0.16618958,0.08486215,0.16327663,0.028756458,0.013124384,0.09474861,0.08612844,0.012350401,0.30795136
17,0.05954281,0.03355866,0.118579924,0.3274814,0.04018209,0.018339017,0.23172553,0.02101833,0.11658853,0.032983765
18,0.27545282,0.025854267,0.014829745,0.55840474,0.030957093,0.014128748,0.02547278,0.016192945,0.013295535,0.025411356
19,0.06610954,0.037259705,0.021371787,0.36359796,0.044613607,0.020361552,0.036709927,0.023336355,0.019160772,0.36747888
20,0.15230475,0.019794917,0.011354162,0.48612526,0.023701815,0.010817455,0.078094244,0.012397875,0.010179519,0.19523004
21,0.06610954,0.037259705,0.021371787,0.14302629,0.26518527,0.24093321,0.14699575,0.023336355,0.019160772,0.036621407
22,0.07430424,0.041878287,0.024020959,0.16075534,0.17410022,0.022885498,0.041260358,0.27414197,0.021535873,0.16511732
23,0.3678095,0.047803883,0.02741982,0.3249973,0.057238877,0.026123697,0.04709852,0.029940344,0.024583107,0.046984952
24,0.06610954,0.037259705,0.021371787,0.14302629,0.044613607,0.020361552,0.3675674,0.023336355,0.1294466,0.14690723
25,0.29366633,0.17505564,0.11505456,0.06801519,0.0212157,0.009682798,0.17479418,0.011097445,0.009111775,0.12230642
26,0.08481797,0.33079544,0.02741982,0.18350153,0.057238877,0.026123697,0.04709852,0.029940344,0.16607888,0.046984952
27,0.22631374,0.33079544,0.02741982,0.18350153,0.057238877,0.026123697,0.04709852,0.029940344,0.024583107,0.046984952
28,0.054162763,0.030526439,0.107865535,0.026823888,0.036551405,0.01668198,0.03007601,0.4708986,0.106054075,0.12035936
29,0.6555289,0.03355866,0.019248907,0.02948833,0.04018209,0.018339017,0.03306349,0.120349355,0.017257512,0.032983765
30,0.1295357,0.16633223,0.25881773,0.064625844,0.020158473,0.009200283,0.016587228,0.110208824,0.008657715,0.215876
31,0.06610954,0.36811718,0.021371787,0.36359796,0.044613607,0.020361552,0.036709927,0.023336355,0.019160772,0.036621407
32,0.14451864,0.12088232,0.2885773,0.20753564,0.036551405,0.01668198,0.03007601,0.019119201,0.106054075,0.030003488
33,0.071891926,0.026720943,0.4233055,0.26557967,0.008079659,0.043633733,0.026621375,0.12406486,0.0034700737,0.0066322475
34,0.16178389,0.20774098,0.13653687,0.20519063,0.025176968,0.011490713,0.020716654,0.13764554,0.010813071,0.08290472
35,0.39323848,0.083063126,0.047644164,0.072988406,0.0994572,0.045392044,0.081837505,0.05202378,0.042715143,0.08164017
36,0.09879738,0.05568276,0.031939063,0.5433789,0.066672795,0.030429317,0.054861143,0.03487501,0.02863481,0.054728854
37,0.019936517,0.044495,0.039703716,0.14290816,0.013454034,0.0061403913,0.07758787,0.5724349,0.039036945,0.044302512
38,0.054162763,0.030526439,0.107865535,0.29789153,0.036551405,0.3781055,0.03007601,0.019119201,0.015698195,0.030003488
39,0.08481797,0.047803883,0.02741982,0.46649307,0.19873466,0.026123697,0.04709852,0.029940344,0.024583107,0.046984952
41,0.22402191,0.33221704,0.012060823,0.018476559,0.087414995,0.07372873,0.20743072,0.013169494,0.010813071,0.0206667
42,0.3678095,0.18929966,0.02741982,0.04200575,0.057238877,0.026123697,0.04709852,0.029940344,0.024583107,0.18848072
43,0.07430424,0.041878287,0.024020959,0.03679887,0.050143752,0.64266783,0.041260358,0.026229046,0.021535873,0.041160867
44,0.08481797,0.047803883,0.02741982,0.04200575,0.34023044,0.026123697,0.04709852,0.029940344,0.024583107,0.3299765
46,0.01661997,0.14799665,0.19945425,0.008230971,0.0666677,0.0051189037,0.4528434,0.0058667706,0.08799475,0.009206639
48,0.05954281,0.23222071,0.019248907,0.02948833,0.13951312,0.018339017,0.4303876,0.02101833,0.017257512,0.032983765
49,0.019294797,0.2361916,0.13499014,0.0095556695,0.013020974,0.36001223,0.010714197,0.19993979,0.0055922824,0.010688362
53,0.24122065,0.07016428,0.0101632085,0.015569512,0.0212157,0.009682798,0.06990283,0.011097445,0.1664488,0.3845348
54,0.06380564,0.013477561,0.20719326,0.011842868,0.09592268,0.00736517,0.1329563,0.008441214,0.32607108,0.13292427
59,0.14451864,0.030526439,0.107865535,0.29789153,0.21726316,0.01668198,0.03007601,0.019119201,0.015698195,0.12035936
60,0.18877497,0.38483834,0.0101632085,0.015569512,0.33588976,0.009682798,0.017457157,0.011097445,0.009111775,0.017415062
61,0.06610954,0.14754553,0.021371787,0.032740477,0.59604275,0.020361552,0.036709927,0.023336355,0.019160772,0.036621407
62,0.42852885,0.116500035,0.05948895,0.014793649,0.020158473,0.009200283,0.21591601,0.06037663,0.008657715,0.06637942
65,0.08481797,0.047803883,0.02741982,0.04200575,0.057238877,0.026123697,0.04709852,0.029940344,0.024583107,0.612968
66,0.51297796,0.0666713,0.03824198,0.05858474,0.07983013,0.036434293,0.06568754,0.041757308,0.034285657,0.065529145
67,0.03978392,0.02242244,0.5438107,0.019702824,0.02684793,0.012253336,0.02209159,0.014043536,0.27700543,0.02203832
68,0.042612024,0.024016377,0.013775549,0.16327663,0.6685358,0.013124384,0.023662006,0.015041844,0.012350401,0.02360495
69,0.03143794,0.12260996,0.37728295,0.015569512,0.12610705,0.009682798,0.017457157,0.011097445,0.11400312,0.1747521
