,,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9,Word_10,Word_11,Word_12,Word_13,Word_14,Word_15
Topic_0,word,session,make,information,nothing,longer,dr,recommendations,helpful,new,wanted,dealing,always,time,offered,resources
Topic_0,value,0.014483721,0.012696991,0.012696787,0.012696085,0.009119955,0.009119702,0.009118959,0.0073320535,0.0073317788,0.0073314877,0.007331472,0.007331436,0.007331255,0.0055435053,0.005543484
Topic_1,word,time,self,nothing,looking,advice,us,learn,resources,people,work,short,anxiety,excellent,friend,sessions
Topic_1,value,0.014906018,0.012462491,0.012462076,0.010018539,0.0075755254,0.007575493,0.0075750942,0.007574853,0.0075748125,0.0075740796,0.0051318672,0.0051316414,0.0051316093,0.0051316074,0.005131597
Topic_2,word,nothing,work,session,time,anxiety,stress,cobalt,link,help,one,tips,needs,balance,family,would
Topic_2,value,0.021489847,0.011647417,0.011647074,0.008366952,0.008366278,0.0083662225,0.0067263986,0.0067263925,0.0067262477,0.0067258235,0.0067258063,0.006725629,0.006725527,0.0067254584,0.0062006223
Topic_3,word,nothing,anxiety,tips,strategies,year,helpful,learning,life,stress,time,new,day,specific,work,wanted
Topic_3,value,0.032820318,0.015892724,0.013930797,0.010007404,0.010007161,0.010007143,0.01000704,0.008044817,0.008044053,0.008043518,0.007194359,0.0060828105,0.00608258,0.006082558,0.0060825506
Topic_4,word,time,grief,self,nothing,past,ive,dr,longer,everything,anxiety,presented,lily_brown,stress,depression,yes
Topic_4,value,0.021540431,0.019407505,0.010876504,0.010875886,0.010479965,0.009548743,0.00874399,0.008743886,0.008743718,0.0066115735,0.006611377,0.006611217,0.006611201,0.0066110906,0.0066107507
Topic_5,word,stress,life,mindfulness,work,balance,time,meeting,personal,habits,skills,would,volunteer,sleep,perhaps,something
Topic_5,value,0.020262685,0.016611418,0.012960885,0.011134463,0.011134172,0.009309739,0.009309695,0.00930939,0.007484418,0.0074843476,0.0074841767,0.0074841566,0.0074840486,0.0074839485,0.007483894
Topic_6,word,work,time,caregiver,stress,nothing,coping,ways,helpful,im,recommendations,going,family,mom,join,finding
Topic_6,value,0.020500243,0.01711234,0.012029548,0.012028217,0.010334572,0.008640873,0.00864073,0.008640709,0.00864054,0.0069465237,0.006946496,0.0069461847,0.0069461255,0.0052524577,0.0052523143
Topic_7,word,time,self,good,recommendations,find,care,always,understand,better,know,make,im,tips,techniques,like
Topic_7,value,0.015988763,0.011667781,0.010227675,0.010227433,0.0073465044,0.0073461635,0.0073460643,0.0073454455,0.0059061996,0.0059060683,0.00590603,0.005905968,0.0059059258,0.0059057963,0.0059057833
Topic_8,word,nothing,time,sleep,stress,help,feel,loss,information,like,people,different,grief,specific,work,relationships
Topic_8,value,0.015190216,0.015189965,0.013314689,0.011439486,0.011438872,0.009564767,0.009564738,0.009563849,0.009563735,0.0076894676,0.007689091,0.0076890774,0.00768903,0.00768895,0.0076887654
Topic_9,word,nothing,family,grief,deal,help,life,holidays,learn,anxiety,loss,work,community,change,session,presentation
Topic_9,value,0.034529496,0.02039429,0.012317109,0.010297832,0.010297577,0.008279071,0.008278928,0.00827872,0.008278436,0.008278431,0.0062599173,0.006259902,0.0062598973,0.0062598954,0.0062598526
