,,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9,Word_10
Topic_0,word,nothing,anxiety,stress,strategies,use,family,tips,children,good,time
Topic_0,value,0.02080429,0.014626212,0.014625493,0.012565495,0.009933863,0.008445615,0.008445139,0.008444846,0.007885618,0.0065893466
Topic_1,word,nothing,family,learn,skills,self,grief,session,care,loss,stress
Topic_1,value,0.019567184,0.016042296,0.014214492,0.012437677,0.010683786,0.008990956,0.008990891,0.008990527,0.008990208,0.007227631
Topic_2,word,help,nothing,session,communication,life,im,stress,thought,change,better
Topic_2,value,0.020588422,0.011832413,0.01115693,0.00958598,0.008015055,0.008014704,0.008014632,0.0064433953,0.0064433403,0.006443319
Topic_3,word,time,stress,self,grief,minimize,emotions,us,excellent,hear,others
Topic_3,value,0.015611131,0.013108738,0.011704345,0.011218788,0.0076437783,0.0076435157,0.0073584924,0.0061587584,0.0057149413,0.005703637
Topic_4,word,time,new,recommendations,volunteer,improve,work,helpful,real,us,link
Topic_4,value,0.015953915,0.009295139,0.008526428,0.008526234,0.008526019,0.0077272463,0.007384346,0.007157794,0.006687277,0.006447109
Topic_5,word,work,nothing,sleep,time,life,balance,year,stress,different,want
Topic_5,value,0.023674874,0.02050832,0.016958846,0.015529763,0.01527824,0.011920462,0.0106604155,0.01024169,0.008662875,0.008563037
Topic_6,word,nothing,time,information,grief,questions,personal,like,recommendations,yes,self
Topic_6,value,0.019822234,0.01922492,0.017375046,0.014928085,0.0075866007,0.0075862925,0.0075861174,0.0075860424,0.007585799,0.007585684
Topic_7,word,nothing,good,like,going,tips,loss,recent,would,way,stress
Topic_7,value,0.011158386,0.008579851,0.008223668,0.0076546385,0.0076543936,0.007654083,0.0076538,0.00736567,0.006579508,0.0063857357
Topic_8,word,nothing,time,im,change,life,sessions,make,way,session,recommendations
Topic_8,value,0.021523694,0.015980806,0.010422323,0.009384131,0.008737548,0.007686596,0.00767781,0.0066069057,0.006606845,0.0066068093
Topic_9,word,nothing,time,work,stress,self,new,anxiety,recommendations,loss,dealing
Topic_9,value,0.019879691,0.0181589,0.011061269,0.010281063,0.009726378,0.008152349,0.0073249857,0.007324865,0.0061241104,0.006123977
