,,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9,Word_10,Word_11,Word_12,Word_13,Word_14,Word_15,Word_16,Word_17,Word_18,Word_19,Word_20
Topic_0,word,feel,time,way,help,information,meeting,community,penn,barrier,develop,long,experience,helpful,attend,connection,pay,patient,relax,anonymity,course
Topic_0,value,0.02631347,0.021066224,0.015658256,0.015564622,0.014733372,0.014115294,0.011026259,0.01102602,0.01102599,0.011025959,0.011025951,0.011025901,0.011025888,0.0110257715,0.01102576,0.011025663,0.011025642,0.0110255955,0.011025449,0.011025326
Topic_1,word,make,time,emotion,tip,attend,improve,want,positive,sense,practical,prior,brown,slide,anxiety,work,improvement,engaging,session,presenter,new
Topic_1,value,0.018103855,0.018102923,0.01810242,0.013633561,0.013632934,0.013632318,0.010229286,0.00916374,0.00916362,0.009163472,0.009163423,0.009163402,0.0091634,0.009163394,0.009163305,0.009163305,0.009163224,0.009163213,0.009163188,0.009163169
Topic_2,word,life,work,time,way,deal,cope,anxiety,stress,balance,people,worry,available,manage,get,basic,less,care,die,year,focus
Topic_2,value,0.02216834,0.022168048,0.022167657,0.017777542,0.013388732,0.013388547,0.013388362,0.013388347,0.013388229,0.008999226,0.008999109,0.008999025,0.008998997,0.008998944,0.008998888,0.008998867,0.008998855,0.008998813,0.008998811,0.008998753
Topic_3,word,people,talk,make,deal,time,break,find,personal,mindfulness,change,grief,look,acceptance,back,keep,year,still,note,provide,last
Topic_3,value,0.01799045,0.017623069,0.014427216,0.014426889,0.014426583,0.010865154,0.010865107,0.010865004,0.010864943,0.010864892,0.010864706,0.010864656,0.010864391,0.0104949875,0.010403571,0.007302969,0.0073029064,0.0073028714,0.007302856,0.0073028314
Topic_4,word,sleep,thought,night,tip,time,long,thrive,alone,wake,accessible,participate,connect,meet,communication,aspect,attach,easily,hard,find,wellfocuse
Topic_4,value,0.022293353,0.014984989,0.014984861,0.014984493,0.014984111,0.014984001,0.007675357,0.0076753055,0.0076752612,0.007675249,0.007675237,0.007675235,0.007675222,0.007675194,0.0076751914,0.0076751853,0.007675181,0.0076751695,0.00767516,0.0076751565
Topic_5,word,session,topic,always,say,time,interested,boundary,helpful,bit,discuss,think,short,emotion,maybe,good,long,great,family,none,run
Topic_5,value,0.029276688,0.020970859,0.016819064,0.016818257,0.016817803,0.012666058,0.012665521,0.012665063,0.008513283,0.008513274,0.008513266,0.008513253,0.008513191,0.00851318,0.0085131535,0.008513121,0.008513103,0.008513081,0.008513033,0.008513004
Topic_6,word,people,excuse,plan,make,life,work,need,self,help,topic,school,family,connect,involve,specific,stop,person,recognize,grief,provide
Topic_6,value,0.02006883,0.015114013,0.015113573,0.015113562,0.015113535,0.015113481,0.015113334,0.0151132075,0.015113044,0.015112848,0.010158396,0.010158335,0.010158286,0.010158238,0.010158184,0.010158131,0.010158129,0.010158092,0.0101580275,0.010157868
Topic_7,word,self,anxiety,stress,issue,loss,time,grief,depression,keep,access,change,slide,share,boundary,need,see,available,learn,other,habit
Topic_7,value,0.027143015,0.025461536,0.016502047,0.013683676,0.013683423,0.013683152,0.013682857,0.011954327,0.009778037,0.009196924,0.009196916,0.009196909,0.009196885,0.009196868,0.009196828,0.009196786,0.009196713,0.009196711,0.009196656,0.009196605
Topic_8,word,stress,session,want,learn,anxiety,cope,caregiver,recent,mom,help,look,issue,way,thing,self,time,topic,meditation,give,present
Topic_8,value,0.026800647,0.01918477,0.012833094,0.01265394,0.011587233,0.011587073,0.011586748,0.011586594,0.011586405,0.011586305,0.01158624,0.007814037,0.007809516,0.007806193,0.007804709,0.0078045866,0.007803766,0.0077883042,0.0077882265,0.0077881846
Topic_9,word,work,life,time,topic,habit,sleep,balance,say,understand,interest,tip,matter,attend,option,year,feel,learn,other,presentation,example
Topic_9,value,0.028449636,0.016344003,0.016342945,0.016342815,0.01230826,0.012308125,0.012308086,0.012307895,0.0123078935,0.012307783,0.008273,0.008272665,0.008272615,0.008272601,0.008272601,0.008272529,0.008272497,0.008272484,0.008272458,0.008272437
Topic_10,word,change,work,help,session,time,need,stress,look,post,step,ask,strategy,life,compassion,burn,link,cobalt,find,use,advice
Topic_10,value,0.01959197,0.019591795,0.016353983,0.016353495,0.0163532,0.016352441,0.013114903,0.013114813,0.009876871,0.009876745,0.009876636,0.009876527,0.009876518,0.00663886,0.0066387095,0.006638682,0.0066385376,0.006638534,0.0066385185,0.006638476
Topic_11,word,stress,work,think,management,way,time,find,want,relationship,join,define,unfinished,like,value,identify,avenue,go,business,topic,relevant
Topic_11,value,0.03087284,0.024606956,0.019193012,0.019140339,0.018790733,0.018758865,0.017974623,0.017973455,0.017972708,0.012081494,0.0120814685,0.012081347,0.012081329,0.012081267,0.012081022,0.012080997,0.012080951,0.012080875,0.012080807,0.012080773
Topic_12,word,stress,cope,learn,tip,tool,grief,think,time,minimize,anxiety,listen,presentation,technique,holiday,helpful,feel,know,stop,help,communication
Topic_12,value,0.023077846,0.018510068,0.018509015,0.013939982,0.013939432,0.013939048,0.01393895,0.013938647,0.01393862,0.013937915,0.0093694525,0.009369249,0.009369139,0.009369107,0.009369034,0.009369011,0.009368888,0.009368862,0.009368857,0.009368855
Topic_13,word,parenting,relevant,knowledge,belief,decision,chronic,support,learn,effective,single,tip,mother,communication,care,new,make,family,need,love,grief
Topic_13,value,0.013446955,0.009038891,0.009038862,0.009038853,0.00903877,0.009038734,0.009038634,0.009038624,0.00903858,0.009038551,0.009038523,0.009038514,0.009038486,0.00903847,0.009038449,0.009038435,0.009038424,0.009038372,0.009038364,0.009038241
Topic_14,word,well,topic,life,personal,offer,care,family,long,grief,new,step,interesting,skill,make,conversation,work,health,learn,navigate,session
Topic_14,value,0.01747176,0.017470822,0.013157846,0.013157481,0.013157398,0.013157278,0.013157205,0.013157106,0.008843807,0.008843773,0.008843747,0.00884372,0.0088436445,0.008843615,0.008843614,0.008843526,0.0088434005,0.008843377,0.008843376,0.008843299
Topic_15,word,topic,relate,strategy,time,work,session,interaction,new,see,improve,recommendation,personal,life,give,tip,good,relevant,perspective,need,help
Topic_15,value,0.044115685,0.022169165,0.022167815,0.022167224,0.017778534,0.013388724,0.013388502,0.013387998,0.008999266,0.008999248,0.008999109,0.008999023,0.008998982,0.008998961,0.008998943,0.00899894,0.008998922,0.008998873,0.0089988625,0.008998794
Topic_16,word,time,recommendation,session,need,self,information,communicate,way,know,long,topic,work,stress,think,new,life,make,care,calendar,love
Topic_16,value,0.027492631,0.024077838,0.017247096,0.017246583,0.017246572,0.013832327,0.013832072,0.013831887,0.013831878,0.013831707,0.013831411,0.013831158,0.013831037,0.010416769,0.010416506,0.010416458,0.010416114,0.0104158735,0.0070015867,0.0070014577
Topic_17,word,feel,find,go,hear,social,distance,hangout,event,toxic,information,reminder,assessement,suggest,trauma,end,old,last,friendship,get,grief
Topic_17,value,0.023293762,0.018680217,0.018679911,0.014067837,0.01406775,0.009455689,0.009455628,0.00945559,0.00945557,0.00945557,0.00945557,0.009455542,0.009455537,0.009455537,0.009455496,0.00945542,0.0094554145,0.009455406,0.0094554005,0.009455382
Topic_18,word,get,sleep,volunteer,topic,stress,good,think,strategy,discuss,want,community,cope,issue,already,skill,need,loss,recent,family,inspiration
Topic_18,value,0.016876006,0.013549127,0.013548847,0.013533738,0.013532533,0.013511788,0.013509674,0.01020384,0.010203747,0.010203673,0.010203523,0.010203041,0.010178766,0.006858201,0.0068580713,0.0068579805,0.0068579614,0.0068579316,0.0068579223,0.006857899
Topic_19,word,topic,time,help,anxiety,learn,suggestion,loss,tip,know,skill,minute,always,self,long,sleep,deal,want,plan,need,seek
Topic_19,value,0.031494953,0.02453468,0.02105542,0.021053715,0.01928638,0.014094545,0.014094419,0.014094315,0.012282469,0.010614506,0.0106142415,0.010614224,0.010614117,0.0106139295,0.010613738,0.0088816825,0.008642662,0.007134494,0.007134431,0.007134426
