,orig_index,what_motivated,what_helpful,what_change,future_topics,days_week,times_day,referral_source,host_name,session_date,session_name,resp_concat_text
0,0,stress,all,,,"tuesday,,wednesdsay,,thursday","monring,,lunch",pm report,erica,2023-06-14,staying effective when burned out,stress all
1,1,the topic,,,,"monday,,tuesday","morning,lunch",pm report,erica,2023-06-14,staying effective when burned out,the topic
2,2,feeling burnt out,affirmations of what i know i need to do and other practical ways to combat burnout,,,"monday,,friday",lunch,pm report,erica,2023-06-14,staying effective when burned out,feeling burnt out affirmations of what i know i need to do and other practical ways to combat burnout
3,3,burn out,,real talk about the hospital,they kept it general instead of talking about real work stressors and dealing with them,,,,erica,2023-06-14,staying effective when burned out,burn out  real talk about the hospital they kept it general instead of talking about real work stressors and dealing with them
4,4,i wanted one of my employees to attend,i liked the shift in perspective,,,friday,"morning,,lunch",pm report,erica,2023-07-06,improving the relationship with yourself,i wanted one of my employees to attend i liked the shift in perspective
5,5,personal goals,topic,more resources if available,,friday,afternoon,pm report,erica,2023-07-06,improving the relationship with yourself,personal goals topic more resources if available
6,6,the content was interesting and could be applicable to my life.,,,,"wednesday,,thursday,,friday","morning,,lunch,,afternoon",wellfocused calendar,erica,2023-07-06,improving the relationship with yourself,the content was interesting and could be applicable to my life.
7,7,the value of the subject matter to my work,"excellent presentation, warm and real presenter","more time dedicated to written exercise (said ""5 min"" but it had to have been much less)",this topic interests me greatly,"monday,,wednesday,,friday",lunch,pm report,erica,2023-07-06,improving the relationship with yourself,"the value of the subject matter to my work excellent presentation, warm and real presenter more time dedicated to written exercise (said ""5 min"" but it had to have been much less) this topic interests me greatly"
8,8,i am a hospice nurse,how important compassion can be,group participation,how to remain positive,tuesday,morning,pm report,erica,2023-07-13,coping with grief and loss,i am a hospice nurse how important compassion can be group participation how to remain positive
9,9,divorce,learning about grief,needed to be an hour,"moving on after a loss, coping.","tuesday,,wednesday,,thursday",lunch,pm report,erica,2023-07-13,coping with grief and loss,"divorce learning about grief needed to be an hour moving on after a loss, coping."
10,10,loss of a friend from suicide in my home,didnt realize if was more maternal loss,all good,broader topics,"monday,,tuesday,,thursday,,friday",lunch,limeaid,erica,2023-07-13,coping with grief and loss,loss of a friend from suicide in my home didnt realize if was more maternal loss all good broader topics
11,11,i am trying to with grief,that my feelings are valid,not that would. it just seemed impersonal.,,wednesday,afternoon,"wellfocused, other",erica,2023-07-13,coping with grief and loss,i am trying to with grief that my feelings are valid not that would. it just seemed impersonal.
12,12,loss of spouse 12/22,"understanding the different stages, emotions, etc",opportunity for brief sharing,,friday,lunch,other,erica,2023-07-13,coping with grief and loss,"loss of spouse 12/22 understanding the different stages, emotions, etc opportunity for brief sharing"
13,13,"the recent death of my son on june 20, 29023",yes,nothing,,"all,days",lunch,pm report,erica,2023-07-13,coping with grief and loss,"the recent death of my son on june 20, 29023 yes nothing"
14,14,history of chronic acute loss x 6,good primer for those seeking iniation of processing grief,none,"burn out, life stransitions","tuesday,,wednesday,,thursday","lunch,,afternoon",other,erica,2023-07-13,coping with grief and loss,"history of chronic acute loss x 6 good primer for those seeking iniation of processing grief none burn out, life stransitions"
15,15,experiencing grief,nothing,did not receive link after sugning up,,,,,erica,2023-07-13,coping with grief and loss,experiencing grief nothing did not receive link after sugning up
16,16,i am grieving,the post loss,longer,stress,"monday,,tuesday,,thursday",lunch,pm report,erica,2023-07-13,coping with grief and loss,i am grieving the post loss longer stress
17,17,to learn about grief,steps of grief,,,"thursday,,friday",lunch,limeaid,erica,2023-07-13,coping with grief and loss,to learn about grief steps of grief
18,18,experiencing my own grief,time heals all wounds,nothing,,tuesday,monring,wellfocused,erica,2023-07-13,coping with grief and loss,experiencing my own grief time heals all wounds nothing
19,19,"to see if i could learn anything new, find out what others were learning",instructor seemed very sincere,maybe mention the target population more clearly,,,,wellfocused,erica,2023-07-13,coping with grief and loss,"to see if i could learn anything new, find out what others were learning instructor seemed very sincere maybe mention the target population more clearly"
20,20,the title,every second,nothing,,wednesday,morning,limeaid,erica,2023-07-13,coping with grief and loss,the title every second nothing
21,21,loss of parents,i could not attend,,,"monday,,wednesday,,friday",afternoon,limeaid,erica,2023-07-13,coping with grief and loss,loss of parents i could not attend
22,22,lost my best friend of 33 years on 7/4/23,,presenter needs to sit still,,"all,days",lunch,pm report,erica,2023-07-13,coping with grief and loss,lost my best friend of 33 years on 7/4/23  presenter needs to sit still
23,23,self help,the entire session. it was very informative and interesting,it should be longer,,"monday,,friday","lunch,,afternoon","wellfocused, limeaid",erica,2023-07-13,coping with grief and loss,self help the entire session. it was very informative and interesting it should be longer
24,24,recent tragedy in my life,gave a framework for understanding what i'm going through.,nothing needs to change,i don't have specific suggestions. thank you for hosting this session.,"all,days","morning,,lunch",pm report,erica,2023-07-13,coping with grief and loss,recent tragedy in my life gave a framework for understanding what i'm going through. nothing needs to change i don't have specific suggestions. thank you for hosting this session.
25,25,personal grief,reminder that other people are struggling with grief,,,thursday,afternoon,pm report,erica,2023-07-13,coping with grief and loss,personal grief reminder that other people are struggling with grief
26,26,event resonated with me,taught me about grief and what to expect,wouldn't change anything,,friday,lunch,pm report,erica,2023-07-13,coping with grief and loss,event resonated with me taught me about grief and what to expect wouldn't change anything
27,27,i have had two very close deaths within the past 6 weeks,the facilitator provided additional information beyond the 5 stages of grief. also placed emphasis of processing grief to not last beyond a 12 month time period. the facilitator did note the time frame is different for everyone as to how long thy grieve...,someone does understand the pain of death and yet there is hope during our saddness.,how to effectively handle change? how to retain optimism in the current world we live in?,wednesday,"morning,,lunch",pm report,erica,2023-07-13,coping with grief and loss,i have had two very close deaths within the past 6 weeks the facilitator provided additional information beyond the 5 stages of grief. also placed emphasis of processing grief to not last beyond a 12 month time period. the facilitator did note the time frame is different for everyone as to how long thy grieve... someone does understand the pain of death and yet there is hope during our saddness. how to effectively handle change? how to retain optimism in the current world we live in?
28,28,i have lost some dear ones in the recent past so wanted to see if i'm doing okay,just going through things and familiarity with the process,,,"thursday,,friday","afternoon,,evening",wellfocused,erica,2023-07-13,coping with grief and loss,i have lost some dear ones in the recent past so wanted to see if i'm doing okay just going through things and familiarity with the process
29,29,interest,,,,"monday,,thursday",morning,"wellfocused, limeaid",erica,2023-07-13,coping with grief and loss,interest
30,30,the topic,improved understanding of grief,,,"monday,,thursday",lunch,limeaid,erica,2023-07-13,coping with grief and loss,the topic improved understanding of grief
31,31,my parents both passed in the last year. still struggling some days.,acceptance that it is ok to still be grieving.,"a little longer with more detail. most of what was shared was info i have read in articles. i was hoping to have more depth to reflect and look inward so i can find 'closure', or acceptance on some level.",,"tuesday,,wednesday,,thursday","lunch,,afternoon",pm report,erica,2023-07-13,coping with grief and loss,"my parents both passed in the last year. still struggling some days. acceptance that it is ok to still be grieving. a little longer with more detail. most of what was shared was info i have read in articles. i was hoping to have more depth to reflect and look inward so i can find 'closure', or acceptance on some level."
32,32,recent loss,symptom review,would like copy of slides,,monday,"morning,,lunch",pm report,erica,2023-07-13,coping with grief and loss,recent loss symptom review would like copy of slides
33,33,loss of my father,tips provided,,,wednesday,"morning,,lunch",wellfocused,erica,2023-07-13,coping with grief and loss,loss of my father tips provided
34,34,very motivated,the examples on tips to combat the barriers i experience.,,open to learning more,"monday,,wednesday,,friday","morning,,lunch","wellfocused, limeaid",erica,2023-07-17,strategies for stress reduction (part 1),very motivated the examples on tips to combat the barriers i experience.  open to learning more
