Escalation,Provider Role,appt_count,appt_pct
All,CARE_MANAGER,374,0.16644414775255897
All,CHAPLAIN,14,0.006230529595015576
All,CLINICIAN,1026,0.45660881174899864
All,COACH,440,0.19581664441477525
All,OTHER,1,0.0004450378282153983
All,PEER,6,0.0026702269692923898
All,PSYCHIATRIST,359,0.159768580329328
All,UNDEFINED,27,0.012016021361815754
Mild,CARE_MANAGER,157,0.20310478654592498
Mild,CHAPLAIN,8,0.01034928848641656
Mild,CLINICIAN,157,0.20310478654592498
Mild,COACH,366,0.47347994825355755
Mild,OTHER,1,0.00129366106080207
Mild,PSYCHIATRIST,70,0.09055627425614489
Mild,UNDEFINED,14,0.018111254851228976
Moderate,CARE_MANAGER,202,0.16108452950558214
Moderate,CHAPLAIN,5,0.003987240829346092
Moderate,CLINICIAN,824,0.6570972886762361
Moderate,COACH,62,0.049441786283891544
Moderate,PEER,4,0.003189792663476874
Moderate,PSYCHIATRIST,144,0.11483253588516747
Moderate,UNDEFINED,13,0.01036682615629984
Severe,CARE_MANAGER,17,0.07488986784140969
Severe,CHAPLAIN,1,0.004405286343612335
Severe,CLINICIAN,49,0.21585903083700442
Severe,COACH,13,0.05726872246696035
Severe,PEER,2,0.00881057268722467
Severe,PSYCHIATRIST,145,0.6387665198237885
