Appt Data,Provider Role,appt_count,appt_pct
All Appts,CARE_MANAGER,1382,0.3330120481927711
All Appts,CHAPLAIN,31,0.0074698795180722895
All Appts,CLINICIAN,1359,0.32746987951807227
All Appts,COACH,873,0.21036144578313254
All Appts,OTHER,22,0.005301204819277108
All Appts,PEER,11,0.002650602409638554
All Appts,PSYCHIATRIST,443,0.10674698795180723
All Appts,UNDEFINED,29,0.006987951807228916
All Appts - Past 90 Days,CARE_MANAGER,106,0.5120772946859904
All Appts - Past 90 Days,CLINICIAN,25,0.12077294685990338
All Appts - Past 90 Days,COACH,50,0.24154589371980675
All Appts - Past 90 Days,UNDEFINED,26,0.12560386473429952
Appts with Escalation,CARE_MANAGER,367,0.16643990929705216
Appts with Escalation,CHAPLAIN,14,0.006349206349206349
Appts with Escalation,CLINICIAN,1026,0.46530612244897956
Appts with Escalation,COACH,416,0.18866213151927438
Appts with Escalation,OTHER,10,0.0045351473922902496
Appts with Escalation,PEER,6,0.0027210884353741495
Appts with Escalation,PSYCHIATRIST,359,0.16281179138321997
Appts with Escalation,UNDEFINED,7,0.0031746031746031746
Appts with Escalation - Past 90 Days,CARE_MANAGER,4,0.23529411764705882
Appts with Escalation - Past 90 Days,CLINICIAN,2,0.11764705882352941
Appts with Escalation - Past 90 Days,COACH,5,0.29411764705882354
Appts with Escalation - Past 90 Days,UNDEFINED,6,0.35294117647058826
