Year,Month,Week,mild,moderate,severe
2020,4,9,19.0,25.0,11.0
2020,4,16,22.0,19.0,3.0
2020,4,23,11.0,19.0,0.0
2020,4,30,13.0,13.0,4.0
2020,5,7,11.0,17.0,5.0
2020,5,14,16.0,11.0,4.0
2020,5,21,10.0,6.0,0.0
2020,5,28,11.0,13.0,1.0
2020,6,4,16.0,19.0,2.0
2020,6,11,9.0,14.0,2.0
2020,6,18,13.0,16.0,6.0
2020,6,25,12.0,17.0,4.0
2020,7,2,10.0,16.0,2.0
2020,7,9,14.0,19.0,2.0
2020,7,16,9.0,14.0,6.0
2020,7,23,10.0,12.0,2.0
2020,7,30,15.0,14.0,2.0
2020,8,6,14.0,16.0,2.0
2020,8,13,17.0,19.0,2.0
2020,8,20,8.0,15.0,3.0
2020,8,27,5.0,2.0,2.0
2020,9,10,18.0,11.0,2.0
2020,9,17,7.0,15.0,3.0
2020,9,24,9.0,8.0,2.0
2020,10,1,13.0,14.0,1.0
2020,10,8,10.0,9.0,3.0
2020,10,15,11.0,11.0,4.0
2020,10,22,13.0,14.0,2.0
2020,10,29,18.0,19.0,3.0
2020,11,5,9.0,8.0,3.0
2020,11,12,16.0,19.0,3.0
2020,11,19,14.0,12.0,0.0
2020,11,26,7.0,12.0,3.0
2020,12,3,11.0,6.0,1.0
2020,12,10,7.0,12.0,1.0
2020,12,17,5.0,6.0,3.0
2020,12,24,10.0,2.0,0.0
2020,12,31,7.0,8.0,5.0
2021,1,7,10.0,14.0,2.0
2021,1,14,7.0,3.0,2.0
2021,1,21,15.0,14.0,3.0
2021,1,28,9.0,9.0,0.0
2021,2,4,12.0,8.0,0.0
2021,2,11,10.0,10.0,1.0
2021,2,18,8.0,1.0,4.0
2021,2,25,9.0,3.0,1.0
2021,3,4,15.0,4.0,5.0
2021,3,11,6.0,12.0,2.0
2021,3,18,8.0,8.0,0.0
2021,3,25,9.0,11.0,2.0
2021,4,1,8.0,5.0,2.0
2021,4,8,2.0,4.0,0.0
2021,4,15,6.0,9.0,0.0
2021,4,22,6.0,12.0,0.0
2021,4,29,5.0,6.0,4.0
2021,5,6,4.0,3.0,1.0
2021,5,13,3.0,7.0,0.0
2021,5,20,4.0,14.0,0.0
2021,5,27,8.0,5.0,2.0
2021,6,3,3.0,3.0,2.0
2021,6,10,13.0,10.0,0.0
2021,6,17,6.0,2.0,2.0
2021,6,24,3.0,9.0,3.0
2021,7,1,6.0,4.0,2.0
2021,7,8,9.0,8.0,0.0
2021,7,15,8.0,6.0,0.0
2021,7,22,4.0,4.0,1.0
2021,7,29,7.0,6.0,3.0
2021,8,5,8.0,6.0,1.0
2021,8,12,6.0,7.0,1.0
2021,8,19,3.0,4.0,1.0
2021,8,26,6.0,5.0,1.0
2021,9,2,8.0,8.0,1.0
2021,9,9,6.0,11.0,1.0
2021,9,16,9.0,6.0,1.0
2021,9,23,8.0,3.0,1.0
2021,9,30,9.0,6.0,5.0
2021,10,7,8.0,5.0,4.0
2021,10,14,9.0,12.0,0.0
2021,10,21,7.0,3.0,3.0
2021,10,28,12.0,6.0,0.0
2021,11,4,8.0,8.0,1.0
2021,11,11,8.0,6.0,2.0
2021,11,18,4.0,7.0,1.0
2021,11,25,8.0,11.0,2.0
2021,12,2,10.0,9.0,1.0
2021,12,9,3.0,7.0,0.0
2021,12,16,14.0,3.0,0.0
2021,12,23,4.0,6.0,0.0
2021,12,30,7.0,6.0,2.0
2022,1,6,53.0,49.0,3.0
2022,1,13,23.0,25.0,3.0
2022,1,20,4.0,8.0,1.0
2022,1,27,11.0,13.0,2.0
2022,2,3,20.0,18.0,2.0
2022,2,10,13.0,25.0,1.0
2022,2,17,7.0,8.0,2.0
2022,2,24,12.0,20.0,2.0
2022,3,3,11.0,8.0,4.0
2022,3,10,11.0,11.0,4.0
2022,3,17,4.0,11.0,1.0
2022,3,24,9.0,11.0,1.0
2022,3,31,3.0,5.0,1.0
2022,4,7,12.0,5.0,0.0
2022,4,14,8.0,5.0,0.0
2022,4,21,8.0,10.0,0.0
2022,4,28,5.0,3.0,1.0
2022,5,5,21.0,7.0,0.0
2022,5,12,5.0,4.0,2.0
2022,5,19,9.0,7.0,1.0
2022,5,26,2.0,5.0,1.0
2022,6,2,5.0,4.0,1.0
2022,6,9,5.0,7.0,1.0
2022,6,16,7.0,5.0,0.0
2022,6,23,4.0,5.0,2.0
2022,6,30,10.0,6.0,2.0
2022,7,7,4.0,4.0,1.0
2022,7,14,3.0,2.0,1.0
2022,7,21,1.0,8.0,2.0
2022,7,28,13.0,10.0,2.0
2022,8,4,9.0,4.0,0.0
