,content_id,created,content_type_id,title,description,author,duration_in_minutes,view_count
0,6a84a979-1c1f-44cf-aab3-243f5fa9f661,2024-01-17 19:17:37.482333+00:00,VIDEO,Parents @ Penn Medicine: Supporting your Child with Anxiety,"<p>Dr. Erica Weitz, Psychologist and Assistant Professor at the Center for the Treatment and Study of Anxiety, as she discussed ways to support your child with anxiety. Learn how to recognize symptoms, different anxiety disorders, as well as parental treatment strategies you can try at home.</p>",Dr. Erica Weitz,28.0,59
1,13a0fafa-6ba6-440c-93a8-447d9ca6c63a,2024-03-07 17:59:10.684564+00:00,VIDEO,Practicing Self-Compassion to Reduce Negative Self-Talk,<p>Join Dr. Erica Weitz as she focused on learning some compassion-focused exercises to reduce negative reactions and judgments of ourselves.</p>,Dr. Erica Weitz,29.0,23
2,99eac5f5-1716-45f4-86b4-58cf2260e2f7,2024-03-19 13:51:22.800092+00:00,PODCAST,The Wellfocused Podcast: Ep. 48 - Growing Pains: Child Anxiety (ft. Dr. Emily Becker-Haimes),"<p>Dr. Emily Becker-Haimes, Assistant Professor at the University of Pennsylvania’s Perelman School of Medicine and the Clinical Director of the Pediatric Anxiety Treatment Center at Hall Mercer (PATCH) program, joins the Wellfocused Podcast to discuss child and adolescent anxiety. Here we dive into the nuances of anxiety for young people, the impact of social media, and the potential effects of over-de-stigmatization with regards to mental health.</p>",Mitch Sherman,33.0,9
3,53b97d96-4eb6-4482-bb4d-2b50c263d32d,2022-10-06 19:12:03.983736+00:00,PODCAST,The Wellfocused Podcast: Ep. 38 - Is Sitting The New Smoking?,"On this episode of The Wellfocused Podcast, I dissect a couple research articles that tackle the ever-growing question: Is Sitting The New Smoking? With an increase in remote work as a result of the COVID-19 pandemic, it is important to consider the risks that come with excessive sitting. However, is this more dangerous than smoking, as this trendy question seems to imply?",Mitch Sherman,5.0,8
4,438d4600-e9d7-400f-a536-cab820566e96,2024-03-20 18:14:09.470491+00:00,VIDEO,Parents @ Penn Medicine:  Connecting With and Supporting your Adolescent,"<p>Dr.&nbsp;<a href=""https://www.med.upenn.edu/ctsa/EricaWeitz.html"" rel=""noopener noreferrer"" target=""_blank"">Erica Weitz</a>&nbsp;discussed ways to increase connection with your adolescent in a time where they desire autonomy but crave connection and support.&nbsp;</p>",Dr. Erica Weitz,30.0,7
5,66cc0fe9-5726-477f-8f48-bf4ae1126572,2024-03-22 17:52:16.911335+00:00,VIDEO,Staying Effective While Stressed in Daily Life,"<p>Managing stress in our daily lives can feel tedious and impossible. Listen in as Dr. Erica Weitz, Assistant Professor at the Center for the Treatment and Study of Anxiety, as she shares strategies and techniques to manage stress.</p>",Dr. Erica Weitz,21.0,5
6,596e361a-218a-4feb-868a-b3cf8074edae,2021-10-15 17:35:41.906820+00:00,PODCAST,"Wellfocused Podcast: Sn. 2, Ep. 1 - What is COBALT? (ft. Kelley Kugler)","On the season 2 premiere  of The Wellfocused Podcast, we are joined by Kelley Kugler, a Senior Innovation Manager at Penn and the Director of Cobalt. Kelley shares her insights on what Cobalt is, how it started, where its going, and its pivotal role in getting through the COVID-19 pandemic.",Mitchell Sherman,23.0,5
7,d182e76d-69cc-44a3-9ca6-63cb28a94bae,2024-02-22 17:59:45.075360+00:00,VIDEO,Parents @ Penn Medicine: The Good Enough Parent- Coping with Perfectionism in Parenting,<p>Watch this recording to learn ways to cope with high standards that impact our parenting and overall well-being.</p>,Dr. Erica Weitz,30.0,5
8,38530eac-9e2a-4238-9416-aeacd1060e02,2024-02-21 16:42:39.016933+00:00,PODCAST,The Secret to Making Friends as an Adult,"<p>Loneliness is a far more common and far more serious problem than we think. It affects one in five Americans, and takes a toll on our bodies and minds. To thrive we need to several types of social interactions - both casual and more intimate.</p><p><br></p><p>With the help of US Surgeon General Vivek Murthy; Harvard Divinity School fellow Casper ter Kuile; and friendship expert Marisa Franco; Dr Laurie Santos looks at how loneliness might be affecting you or someone you know, and what science-back steps you can take to increase your circle of friends.</p>",Laurie Santos,33.0,4
9,d5fe5c94-f5c8-48f5-8097-37f942447049,2022-01-18 18:13:00.114480+00:00,VIDEO,Sleep Tips,"Over the last year, the prevalence of sleep disorders and insomnia have increased tremendously. In this podcast, Dr. Lily Brown, Director of the Center for Treatment and Study of Anxiety, walks you through a few brief sleep tips. Dr. Brown shares evidence-based practices that you can use as first steps to tackle clinically significant insomnia. This podcast shares some great reminders for everyone who is trying to improve their sleep schedules and sleeping habits in the New Year.","Lily Brown, PhD",5.0,4
10,21990319-4e48-4f2a-a43a-6b72a93ec2cf,2023-08-24 16:21:48.879972+00:00,VIDEO,Preparing for the Postpartum Period and Maternity Leave,Dr. Erica Weitz discusses common experiences and ways to cope in the postpartum period.,Erica Weitz,29.0,4
