,content_id,created,content_type_id,title,description,author,duration_in_minutes,view_count
0,7f76996c-e569-44f4-879b-e7b9306bf706,2023-10-13 14:41:23.735769+00:00,WORKSHEET,100 questions to generate gratitude,<p>100 questions to generate gratitude in different areas of your life. </p>,Joel Wong,5.0,9
1,49532541-c937-45cc-9fe0-7313f764042e,2020-12-16 17:58:48.774865+00:00,WORKSHEET,Disease Prevention Checklist,"This checklist contains six strategies for preventing disease, and related actions you can take for each.",National Institutes of Health,5.0,1
2,f27baadc-3fd0-4efd-827f-cfd640c914ba,2023-10-16 17:57:05.595140+00:00,VIDEO,Coping in Times of World Crisis,"<p>Join Dr. Erica Weitz, Assistant Professor at the Center for the Treatment and Study of Anxiety, as she shares tools on coping in a time of crisis.</p>",Dr. Erica Weitz,17.0,55
3,1b68681f-46b3-4296-aa14-976d36c6b3e6,2023-10-02 18:26:26.410739+00:00,VIDEO,Supporting Family with Anxiety,"<p>We will discuss strategies to support family members and other loved ones who are struggling with anxiety, and how to balance the tension between promoting independence and being supportive.</p>",Lily Brown,27.0,20
4,d5fe5c94-f5c8-48f5-8097-37f942447049,2022-01-18 18:13:00.114480+00:00,VIDEO,Sleep Tips,"Over the last year, the prevalence of sleep disorders and insomnia have increased tremendously. In this podcast, Dr. Lily Brown, Director of the Center for Treatment and Study of Anxiety, walks you through a few brief sleep tips. Dr. Brown shares evidence-based practices that you can use as first steps to tackle clinically significant insomnia. This podcast shares some great reminders for everyone who is trying to improve their sleep schedules and sleeping habits in the New Year.","Lily Brown, PhD",5.0,11
5,c0006e92-ddd3-45ec-9d61-ff03dc227aa7,2023-10-04 13:51:00.180348+00:00,VIDEO,Promoting Connection to Your Partner,"<p>Join Dr. Lily Brown, Assistant Professor, University of Pennsylvania &amp; Director, Center for the Treatment &amp; Study of Anxiety, University of Pennsylvania to learn strategies to support connection to your romantic partner(s) in the service of promoting the well-being of the relationship. </p>",Dr. Lily Brown,27.0,9
6,c9e27379-45b9-4fcf-a8b9-50b098281704,2023-08-31 19:15:10.417392+00:00,VIDEO,Preventing Youth Suicide,"There are five types of therapy to be aware of for treating suicidal thoughts and behaviors, each with a slightly different focus, to efforts to reduce or eliminate the patterns. Learn treatment options for youth suicidal thoughts and behaviors.",PsychHub,5.0,6
7,41891834-fe0a-4492-98cf-d85ea526ba35,2023-10-12 19:48:46.892339+00:00,VIDEO,Managing Caregiver Burnout,"<p>Join Dr. Lily Brown, Assistant Professor of Psychology in Psychiatry and Director at the Center for the Treatment and Study of Anxiety as she discusses how to navigate the burden or providing caregiving duties across the lifespan in a manner to preserve your well-being and relationships.</p>",Dr. Lily Brown,27.0,4
8,df47c74a-5f50-4f6f-a6ee-89ebe0f38976,2023-08-31 19:23:08.451884+00:00,VIDEO,Effective suicide prevention,"This four-minute video provides a brief overview of SPRC’s Effective Suicide Prevention Model, which can help you carry out suicide prevention efforts that are most likely to be effective. It will guide you through the three elements of the model—Strategic Planning, Keys to Success, and the Comprehensive Approach. As described in the model, effective suicide prevention efforts should:

- Help you understand the suicide problem in your community or setting, set clear goals, and prioritize actions that are most likely to make a difference, using a strategic planning process.

- Use a number of guiding principles, or keys to success.

- Combine multiple efforts that work in sync to create change rather than relying on standalone programs to do so.",Suicide Prevention Resource Center,4.0,3
9,8e36d2bc-cb47-456f-b8d2-7936cef2056d,2022-02-28 18:30:39.623034+00:00,VIDEO,Sleep Tips (Part 2),"Over the last year, the prevalence of sleep disorders and insomnia have increased tremendously. In this podcast, Dr. Lily Brown, Director of the Center for Treatment and Study of Anxiety, walks you through a few brief sleep tips. Dr. Brown shares evidence-based practices that you can use as first steps to tackle clinically significant insomnia. This podcast shares some great reminders for everyone who is trying to improve their sleep schedules and sleeping habits this year.",Dr. Lily Brown,5.0,3
