year,month,user_count,apt_count,apt_completed_count,apt_canceled_count,apt_avail_count,prov_count
2020,4,3004.0,66.0,53.0,13.0,0.0,63.0
2020,5,1919.0,160.0,121.0,39.0,11.0,100.0
2020,6,1905.0,220.0,173.0,47.0,37.0,29.0
2020,7,1148.0,232.0,150.0,82.0,31.0,7.0
2020,8,796.0,138.0,95.0,43.0,52.0,4.0
2020,9,927.0,137.0,88.0,49.0,56.0,0.0
2020,10,1457.0,134.0,83.0,51.0,72.0,0.0
2020,11,1125.0,157.0,104.0,53.0,78.0,0.0
2020,12,1264.0,192.0,136.0,56.0,70.0,0.0
2021,1,796.0,154.0,111.0,43.0,24.0,0.0
2021,2,1574.0,142.0,110.0,32.0,17.0,0.0
2021,3,740.0,173.0,148.0,25.0,46.0,1.0
2021,4,1780.0,154.0,117.0,37.0,90.0,0.0
2021,5,837.0,139.0,97.0,42.0,12.0,0.0
2021,6,839.0,118.0,96.0,22.0,13.0,5.0
2021,7,809.0,115.0,95.0,20.0,8.0,1.0
2021,8,1059.0,117.0,95.0,22.0,10.0,1.0
2021,9,1155.0,112.0,84.0,28.0,11.0,0.0
2021,10,995.0,81.0,66.0,15.0,0.0,0.0
2021,11,950.0,83.0,69.0,14.0,0.0,0.0
2021,12,1061.0,95.0,80.0,15.0,1.0,0.0
2022,1,1980.0,122.0,98.0,24.0,36.0,3.0
2022,2,2050.0,146.0,123.0,23.0,96.0,0.0
2022,3,1621.0,173.0,143.0,30.0,79.0,0.0
2022,4,1260.0,108.0,87.0,21.0,0.0,26.0
2022,5,1745.0,109.0,91.0,18.0,0.0,1.0
2022,6,1006.0,93.0,76.0,17.0,1.0,0.0
2022,7,1083.0,80.0,64.0,16.0,26.0,0.0
2022,8,1082.0,98.0,78.0,20.0,68.0,0.0
2022,9,879.0,61.0,52.0,9.0,9.0,0.0
2022,10,1184.0,74.0,60.0,14.0,18.0,0.0
2022,11,695.0,82.0,61.0,21.0,5.0,0.0
2022,12,511.0,53.0,37.0,16.0,178.0,0.0
2023,1,729.0,59.0,47.0,12.0,83.0,0.0
2023,2,572.0,70.0,50.0,20.0,8.0,0.0
2023,3,771.0,85.0,67.0,18.0,17.0,0.0
2023,4,665.0,86.0,64.0,22.0,1.0,2.0
2023,5,649.0,66.0,55.0,11.0,32.0,0.0
2023,6,549.0,58.0,44.0,14.0,72.0,1.0
2023,7,890.0,49.0,36.0,13.0,4.0,0.0
2023,8,847.0,57.0,45.0,12.0,10.0,1.0
2023,9,0.0,16.0,12.0,4.0,134.0,0.0
2023,10,0.0,0.0,0.0,0.0,86.0,0.0
