year,month,week,user_count,apt_count,apt_completed_count,apt_canceled_count,apt_avail_count,prov_count
2020,4,9,1456.0,4.0,3.0,1.0,0.0,23.0
2020,4,16,946.0,24.0,19.0,5.0,0.0,0.0
2020,4,23,524.0,29.0,24.0,5.0,0.0,15.0
2020,4,30,729.0,39.0,33.0,6.0,0.0,70.0
2020,5,7,528.0,38.0,28.0,10.0,0.0,36.0
2020,5,14,355.0,48.0,41.0,7.0,5.0,14.0
2020,5,21,230.0,31.0,17.0,14.0,5.0,5.0
2020,5,28,491.0,27.0,22.0,5.0,4.0,24.0
2020,6,4,625.0,46.0,31.0,15.0,15.0,3.0
2020,6,11,371.0,63.0,50.0,13.0,7.0,2.0
2020,6,18,358.0,57.0,47.0,10.0,7.0,0.0
2020,6,25,267.0,47.0,38.0,9.0,7.0,0.0
2020,7,2,209.0,52.0,36.0,16.0,6.0,1.0
2020,7,9,406.0,59.0,38.0,21.0,9.0,0.0
2020,7,16,184.0,73.0,45.0,28.0,9.0,1.0
2020,7,23,224.0,33.0,20.0,13.0,4.0,0.0
2020,7,30,193.0,31.0,21.0,10.0,9.0,5.0
2020,8,6,211.0,38.0,28.0,10.0,14.0,0.0
2020,8,13,189.0,34.0,24.0,10.0,13.0,4.0
2020,8,20,190.0,33.0,22.0,11.0,11.0,0.0
2020,8,27,124.0,29.0,20.0,9.0,11.0,0.0
2020,9,3,161.0,30.0,18.0,12.0,13.0,0.0
2020,9,10,154.0,28.0,19.0,9.0,13.0,0.0
2020,9,17,340.0,25.0,15.0,10.0,10.0,0.0
2020,9,24,232.0,35.0,21.0,14.0,15.0,0.0
2020,10,1,104.0,24.0,13.0,11.0,15.0,0.0
2020,10,8,149.0,30.0,18.0,12.0,17.0,0.0
2020,10,15,132.0,37.0,27.0,10.0,16.0,0.0
2020,10,22,667.0,29.0,20.0,9.0,21.0,0.0
2020,10,29,633.0,42.0,19.0,23.0,29.0,0.0
2020,11,5,228.0,46.0,29.0,17.0,18.0,0.0
2020,11,12,201.0,41.0,28.0,13.0,14.0,0.0
2020,11,19,355.0,34.0,27.0,7.0,8.0,0.0
2020,11,26,235.0,29.0,19.0,10.0,16.0,0.0
2020,12,3,316.0,48.0,40.0,8.0,24.0,0.0
2020,12,10,214.0,47.0,38.0,9.0,31.0,0.0
2020,12,17,233.0,42.0,24.0,18.0,8.0,0.0
2020,12,24,361.0,35.0,20.0,15.0,3.0,0.0
2020,12,31,132.0,31.0,21.0,10.0,4.0,0.0
2021,1,7,227.0,42.0,31.0,11.0,8.0,0.0
2021,1,14,180.0,31.0,26.0,5.0,7.0,0.0
2021,1,21,185.0,39.0,26.0,13.0,4.0,0.0
2021,1,28,179.0,32.0,25.0,7.0,3.0,0.0
2021,2,4,188.0,33.0,26.0,7.0,3.0,0.0
2021,2,11,703.0,38.0,26.0,12.0,4.0,0.0
2021,2,18,442.0,44.0,32.0,12.0,6.0,0.0
2021,2,25,265.0,41.0,37.0,4.0,4.0,0.0
2021,3,4,161.0,43.0,37.0,6.0,8.0,0.0
2021,3,11,130.0,36.0,32.0,4.0,17.0,0.0
2021,3,18,179.0,31.0,29.0,2.0,10.0,0.0
2021,3,25,158.0,32.0,22.0,10.0,9.0,1.0
2021,4,1,699.0,42.0,34.0,8.0,20.0,0.0
2021,4,8,440.0,29.0,23.0,6.0,32.0,0.0
2021,4,15,370.0,31.0,23.0,8.0,21.0,0.0
2021,4,22,181.0,39.0,27.0,12.0,16.0,0.0
2021,4,29,196.0,37.0,25.0,12.0,2.0,0.0
2021,5,6,131.0,28.0,23.0,5.0,1.0,0.0
2021,5,13,402.0,36.0,23.0,13.0,5.0,0.0
2021,5,20,140.0,42.0,26.0,16.0,4.0,0.0
